RDA element,RDA recording method,Alignment,M21 Authority encoding
reviser agent of,identifier,aligns with,511 ** $0 
reviser agent of,identifier,aligns with,530 ** $0 
reviser agent of,identifier,aligns with,"672 ** $w, 0 "
reviser agent of,IRI,aligns with,500 ** $1 
reviser agent of,IRI,aligns with,510 ** $1 
reviser agent of,IRI,aligns with,511 ** $1 
reviser agent of,IRI,aligns with,530 ** $1 
reviser agent of,IRI,aligns with,672 ** $1 
reviser collective agent,structured description,aligns with,"500 3* $a, c, d, g "
reviser collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
reviser collective agent,identifier,aligns with,500 3* $0 
reviser collective agent,identifier,aligns with,510 ** $0 
reviser collective agent,IRI,aligns with,500 3* $1 
reviser collective agent,IRI,aligns with,510 ** $1 
reviser collective agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
reviser collective agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
reviser collective agent of,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
reviser collective agent of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
reviser collective agent of,structured description,aligns with,"672 ** $a, b, f "
reviser collective agent of,identifier,aligns with,500 ** $0 
reviser collective agent of,identifier,aligns with,510 ** $0 
reviser collective agent of,identifier,aligns with,511 ** $0 
reviser collective agent of,identifier,aligns with,530 ** $0 
reviser collective agent of,identifier,aligns with,"672 ** $w, 0 "
reviser collective agent of,IRI,aligns with,500 ** $1 
reviser collective agent of,IRI,aligns with,510 ** $1 
reviser collective agent of,IRI,aligns with,511 ** $1 
reviser collective agent of,IRI,aligns with,530 ** $1 
reviser collective agent of,IRI,aligns with,672 ** $1 
reviser corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
reviser corporate body,identifier,aligns with,510 ** $0 
reviser corporate body,IRI,aligns with,510 ** $1 
reviser corporate body of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
reviser corporate body of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
reviser corporate body of,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
reviser corporate body of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
reviser corporate body of,structured description,aligns with,"672 ** $a, b, f "
reviser corporate body of,identifier,aligns with,500 ** $0 
reviser corporate body of,identifier,aligns with,510 ** $0 
reviser corporate body of,identifier,aligns with,511 ** $0 
reviser corporate body of,identifier,aligns with,530 ** $0 
reviser corporate body of,identifier,aligns with,"672 ** $w, 0 "
reviser corporate body of,IRI,aligns with,500 ** $1 
reviser corporate body of,IRI,aligns with,510 ** $1 
reviser corporate body of,IRI,aligns with,511 ** $1 
reviser corporate body of,IRI,aligns with,530 ** $1 
reviser corporate body of,IRI,aligns with,672 ** $1 
reviser family,structured description,aligns with,"500 3* $a, c, d, g "
reviser family,identifier,aligns with,500 3* $0 
reviser family,IRI,aligns with,500 3* $1 
reviser family of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
reviser family of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
reviser family of,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
reviser family of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
reviser family of,structured description,aligns with,"672 ** $a, b, f "
reviser family of,identifier,aligns with,500 ** $0 
reviser family of,identifier,aligns with,510 ** $0 
reviser family of,identifier,aligns with,511 ** $0 
reviser family of,identifier,aligns with,530 ** $0 
reviser family of,identifier,aligns with,"672 ** $w, 0 "
reviser family of,IRI,aligns with,500 ** $1 
reviser family of,IRI,aligns with,510 ** $1 
reviser family of,IRI,aligns with,511 ** $1 
reviser family of,IRI,aligns with,530 ** $1 
reviser family of,IRI,aligns with,672 ** $1 
reviser person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
reviser person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
reviser person,identifier,aligns with,500 0* $0 
reviser person,identifier,aligns with,500 1* $0 
reviser person,IRI,aligns with,500 0* $1 
reviser person,IRI,aligns with,500 1* $1 
reviser person of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
reviser person of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
reviser person of,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
reviser person of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
reviser person of,structured description,aligns with,"672 ** $a, b, f "
reviser person of,identifier,aligns with,500 ** $0 
reviser person of,identifier,aligns with,510 ** $0 
reviser person of,identifier,aligns with,511 ** $0 
reviser person of,identifier,aligns with,530 ** $0 
reviser person of,identifier,aligns with,"672 ** $w, 0 "
reviser person of,IRI,aligns with,500 ** $1 
reviser person of,IRI,aligns with,510 ** $1 
reviser person of,IRI,aligns with,511 ** $1 
reviser person of,IRI,aligns with,530 ** $1 
reviser person of,IRI,aligns with,672 ** $1 
revision of,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
revision of,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
revision of,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
revision of,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
revision of,identifier,aligns with,500 ** $0 
revision of,identifier,aligns with,510 ** $0 
revision of,identifier,aligns with,511 ** $0 
revision of,identifier,aligns with,530 ** $0 
revision of,IRI,aligns with,500 ** $1 
revision of,IRI,aligns with,510 ** $1 
revision of,IRI,aligns with,511 ** $1 
revision of,IRI,aligns with,530 ** $1 
right ascension,structured description,aligns with,"034 ** $m, n "
right ascension and declination,structured description,aligns with,"034 ** $j, k, m, n "
right ascension and declination,identifier,aligns with,034 ** $0 
right ascension and declination,IRI,aligns with,034 ** $1 
right ascension and declination of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
right ascension and declination of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
right ascension and declination of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
right ascension and declination of,identifier,aligns with,500 ** $0 
right ascension and declination of,identifier,aligns with,510 ** $0 
right ascension and declination of,identifier,aligns with,530 ** $0 
right ascension and declination of,IRI,aligns with,500 ** $1 
right ascension and declination of,IRI,aligns with,510 ** $1 
right ascension and declination of,IRI,aligns with,530 ** $1 
scale of representative expression,structured description,aligns with,387 ** $k 
scale of representative expression,identifier,aligns with,387 ** $0 
scale of representative expression,IRI,aligns with,387 ** $1 
scope of validity,unstructured description,aligns with,034 ** $3  (data provenance)
scope of validity,unstructured description,aligns with,348 ** $3  (data provenance)
scope of validity,unstructured description,aligns with,370 ** $3  (data provenance)
scope of validity,unstructured description,aligns with,385 ** $3  (data provenance)
scope of validity,unstructured description,aligns with,386 ** $3  (data provenance)
screenplay based on expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
screenplay based on expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
screenplay based on expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
screenplay based on expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
screenplay based on expression,identifier,aligns with,500 ** $0 
screenplay based on expression,identifier,aligns with,510 ** $0 
screenplay based on expression,identifier,aligns with,511 ** $0 
screenplay based on expression,identifier,aligns with,530 ** $0 
screenplay based on expression,IRI,aligns with,500 ** $1 
screenplay based on expression,IRI,aligns with,510 ** $1 
screenplay based on expression,IRI,aligns with,511 ** $1 
screenplay based on expression,IRI,aligns with,530 ** $1 
screenplay based on work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenplay based on work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenplay based on work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
screenplay based on work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenplay based on work,identifier,aligns with,500 ** $0 
screenplay based on work,identifier,aligns with,510 ** $0 
screenplay based on work,identifier,aligns with,511 ** $0 
screenplay based on work,identifier,aligns with,530 ** $0 
screenplay based on work,IRI,aligns with,500 ** $1 
screenplay based on work,IRI,aligns with,510 ** $1 
screenplay based on work,IRI,aligns with,511 ** $1 
screenplay based on work,IRI,aligns with,530 ** $1 
screenplay expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
screenplay expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
screenplay expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
screenplay expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
screenplay expression,identifier,aligns with,500 ** $0 
screenplay expression,identifier,aligns with,510 ** $0 
screenplay expression,identifier,aligns with,511 ** $0 
screenplay expression,identifier,aligns with,530 ** $0 
screenplay expression,IRI,aligns with,500 ** $1 
screenplay expression,IRI,aligns with,510 ** $1 
screenplay expression,IRI,aligns with,511 ** $1 
screenplay expression,IRI,aligns with,530 ** $1 
screenplay for expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
screenplay for expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
screenplay for expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
screenplay for expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
screenplay for expression,identifier,aligns with,500 ** $0 
screenplay for expression,identifier,aligns with,510 ** $0 
screenplay for expression,identifier,aligns with,511 ** $0 
screenplay for expression,identifier,aligns with,530 ** $0 
screenplay for expression,IRI,aligns with,500 ** $1 
screenplay for expression,IRI,aligns with,510 ** $1 
screenplay for expression,IRI,aligns with,511 ** $1 
screenplay for expression,IRI,aligns with,530 ** $1 
screenplay for motion picture expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
screenplay for motion picture expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
screenplay for motion picture expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
screenplay for motion picture expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
screenplay for motion picture expression,identifier,aligns with,500 ** $0 
screenplay for motion picture expression,identifier,aligns with,510 ** $0 
screenplay for motion picture expression,identifier,aligns with,511 ** $0 
screenplay for motion picture expression,identifier,aligns with,530 ** $0 
screenplay for motion picture expression,IRI,aligns with,500 ** $1 
screenplay for motion picture expression,IRI,aligns with,510 ** $1 
screenplay for motion picture expression,IRI,aligns with,511 ** $1 
screenplay for motion picture expression,IRI,aligns with,530 ** $1 
screenplay for motion picture work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenplay for motion picture work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenplay for motion picture work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
screenplay for motion picture work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenplay for motion picture work,identifier,aligns with,500 ** $0 
screenplay for motion picture work,identifier,aligns with,510 ** $0 
screenplay for motion picture work,identifier,aligns with,511 ** $0 
screenplay for motion picture work,identifier,aligns with,530 ** $0 
screenplay for motion picture work,IRI,aligns with,500 ** $1 
screenplay for motion picture work,IRI,aligns with,510 ** $1 
screenplay for motion picture work,IRI,aligns with,511 ** $1 
screenplay for motion picture work,IRI,aligns with,530 ** $1 
screenplay for television program expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
screenplay for television program expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
screenplay for television program expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
screenplay for television program expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
screenplay for television program expression,identifier,aligns with,500 ** $0 
screenplay for television program expression,identifier,aligns with,510 ** $0 
screenplay for television program expression,identifier,aligns with,511 ** $0 
screenplay for television program expression,identifier,aligns with,530 ** $0 
screenplay for television program expression,IRI,aligns with,500 ** $1 
screenplay for television program expression,IRI,aligns with,510 ** $1 
screenplay for television program expression,IRI,aligns with,511 ** $1 
screenplay for television program expression,IRI,aligns with,530 ** $1 
screenplay for television program work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenplay for television program work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenplay for television program work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
screenplay for television program work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenplay for television program work,identifier,aligns with,500 ** $0 
screenplay for television program work,identifier,aligns with,510 ** $0 
screenplay for television program work,identifier,aligns with,511 ** $0 
screenplay for television program work,identifier,aligns with,530 ** $0 
screenplay for television program work,IRI,aligns with,500 ** $1 
screenplay for television program work,IRI,aligns with,510 ** $1 
screenplay for television program work,IRI,aligns with,511 ** $1 
screenplay for television program work,IRI,aligns with,530 ** $1 
screenplay for video expression,structured description,aligns with,"500 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t "
screenplay for video expression,structured description,aligns with,"510 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t "
screenplay for video expression,structured description,aligns with,"511 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t "
screenplay for video expression,structured description,aligns with,"530 ** $a, d, f, h, k, l, m, n, o, p, r, s "
screenplay for video expression,identifier,aligns with,500 ** $0 
screenplay for video expression,identifier,aligns with,510 ** $0 
screenplay for video expression,identifier,aligns with,511 ** $0 
screenplay for video expression,identifier,aligns with,530 ** $0 
screenplay for video expression,IRI,aligns with,500 ** $1 
screenplay for video expression,IRI,aligns with,510 ** $1 
screenplay for video expression,IRI,aligns with,511 ** $1 
screenplay for video expression,IRI,aligns with,530 ** $1 
screenplay for video work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenplay for video work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenplay for video work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
screenplay for video work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenplay for video work,identifier,aligns with,500 ** $0 
screenplay for video work,identifier,aligns with,510 ** $0 
screenplay for video work,identifier,aligns with,511 ** $0 
screenplay for video work,identifier,aligns with,530 ** $0 
screenplay for video work,IRI,aligns with,500 ** $1 
screenplay for video work,IRI,aligns with,510 ** $1 
screenplay for video work,IRI,aligns with,511 ** $1 
screenplay for video work,IRI,aligns with,530 ** $1 
screenplay for work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenplay for work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenplay for work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
screenplay for work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenplay for work,identifier,aligns with,500 ** $0 
screenplay for work,identifier,aligns with,510 ** $0 
screenplay for work,identifier,aligns with,511 ** $0 
screenplay for work,identifier,aligns with,530 ** $0 
screenplay for work,IRI,aligns with,500 ** $1 
screenplay for work,IRI,aligns with,510 ** $1 
screenplay for work,IRI,aligns with,511 ** $1 
screenplay for work,IRI,aligns with,530 ** $1 
screenplay work,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenplay work,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenplay work,structured description,aligns with,"511 ** $a, c, d, e, f, g, k, l, n, p, q, t "
screenplay work,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenplay work,identifier,aligns with,500 ** $0 
screenplay work,identifier,aligns with,510 ** $0 
screenplay work,identifier,aligns with,511 ** $0 
screenplay work,identifier,aligns with,530 ** $0 
screenplay work,IRI,aligns with,500 ** $1 
screenplay work,IRI,aligns with,510 ** $1 
screenplay work,IRI,aligns with,511 ** $1 
screenplay work,IRI,aligns with,530 ** $1 
screenwriter agent,structured description,aligns with,"500 ** $a, b, c, d, g, q "
screenwriter agent,structured description,aligns with,"510 ** $a, b, c, d, g "
screenwriter agent,identifier,aligns with,500 ** $0 
screenwriter agent,identifier,aligns with,510 ** $0 
screenwriter agent,IRI,aligns with,500 ** $1 
screenwriter agent,IRI,aligns with,510 ** $1 
screenwriter agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenwriter agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenwriter agent of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenwriter agent of,structured description,aligns with,"672 ** $a, b, f "
screenwriter agent of,identifier,aligns with,500 ** $0 
screenwriter agent of,identifier,aligns with,510 ** $0 
screenwriter agent of,identifier,aligns with,530 ** $0 
screenwriter agent of,identifier,aligns with,"672 ** $w, 0 "
screenwriter agent of,IRI,aligns with,500 ** $1 
screenwriter agent of,IRI,aligns with,510 ** $1 
screenwriter agent of,IRI,aligns with,530 ** $1 
screenwriter agent of,IRI,aligns with,672 ** $1 
screenwriter collective agent,structured description,aligns with,"500 3* $a, c, d, g "
screenwriter collective agent,structured description,aligns with,"510 ** $a, b, c, d, g "
screenwriter collective agent,identifier,aligns with,500 3* $0 
screenwriter collective agent,identifier,aligns with,510 ** $0 
screenwriter collective agent,IRI,aligns with,500 3* $1 
screenwriter collective agent,IRI,aligns with,510 ** $1 
screenwriter collective agent of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenwriter collective agent of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenwriter collective agent of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenwriter collective agent of,structured description,aligns with,"672 ** $a, b, f "
screenwriter collective agent of,identifier,aligns with,500 ** $0 
screenwriter collective agent of,identifier,aligns with,510 ** $0 
screenwriter collective agent of,identifier,aligns with,530 ** $0 
screenwriter collective agent of,identifier,aligns with,"672 ** $w, 0 "
screenwriter collective agent of,IRI,aligns with,500 ** $1 
screenwriter collective agent of,IRI,aligns with,510 ** $1 
screenwriter collective agent of,IRI,aligns with,530 ** $1 
screenwriter collective agent of,IRI,aligns with,672 ** $1 
screenwriter corporate body,structured description,aligns with,"510 ** $a, b, c, d, g "
screenwriter corporate body,identifier,aligns with,510 ** $0 
screenwriter corporate body,IRI,aligns with,510 ** $1 
screenwriter corporate body of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenwriter corporate body of,structured description,aligns with,"672 ** $a, b, f "
screenwriter corporate body of,identifier,aligns with,530 ** $0 
screenwriter corporate body of,identifier,aligns with,"672 ** $w, 0 "
screenwriter corporate body of,IRI,aligns with,530 ** $1 
screenwriter corporate body of,IRI,aligns with,672 ** $1 
screenwriter family,structured description,aligns with,"500 3* $a, c, d, g "
screenwriter family,identifier,aligns with,500 3* $0 
screenwriter family,IRI,aligns with,500 3* $1 
screenwriter family of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenwriter family of,structured description,aligns with,"510 ** $a, b, c, d, f, g, k, l, n, p, t "
screenwriter family of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenwriter family of,structured description,aligns with,"672 ** $a, b, f "
screenwriter family of,identifier,aligns with,500 ** $0 
screenwriter family of,identifier,aligns with,510 ** $0 
screenwriter family of,identifier,aligns with,530 ** $0 
screenwriter family of,identifier,aligns with,"672 ** $w, 0 "
screenwriter family of,IRI,aligns with,500 ** $1 
screenwriter family of,IRI,aligns with,510 ** $1 
screenwriter family of,IRI,aligns with,530 ** $1 
screenwriter family of,IRI,aligns with,672 ** $1 
screenwriter person,structured description,aligns with,"500 0* $a, b, c, d, g, q "
screenwriter person,structured description,aligns with,"500 1* $a, b, c, d, g, q "
screenwriter person,identifier,aligns with,500 0* $0 
screenwriter person,identifier,aligns with,500 1* $0 
screenwriter person,IRI,aligns with,500 0* $1 
screenwriter person,IRI,aligns with,500 1* $1 
screenwriter person of,structured description,aligns with,"500 ** $a, b, c, d, f, g, k, l, n, p, q, t "
screenwriter person of,structured description,aligns with,"530 ** $a, d, f, g, k, l, n, p "
screenwriter person of,structured description,aligns with,"672 ** $a, b, f "
screenwriter person of,identifier,aligns with,500 ** $0 
screenwriter person of,identifier,aligns with,530 ** $0 
screenwriter person of,identifier,aligns with,"672 ** $w, 0 "
screenwriter person of,IRI,aligns with,500 ** $1 
screenwriter person of,IRI,aligns with,530 ** $1 
screenwriter person of,IRI,aligns with,672 ** $1 
script,unstructured description,aligns with,100 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,110 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,111 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,130 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,151 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,335 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,336 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,348 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,360 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,368 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,370 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,371 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,372 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,373 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,374 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,375 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,376 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,377 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,378 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,380 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,381 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,382 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,383 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,384 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,385 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,386 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,388 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,400 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,410 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,411 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,430 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,451 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,500 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,510 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,511 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,530 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,551 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,670 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,672 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,675 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,677 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,678 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,680 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,700 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,710 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,711 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,730 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,751 ** $7 (dpes)  (data provenance)
script,unstructured description,aligns with,856 ** $e (dpes)  (data provenance)
script,structured description,aligns with,100 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,110 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,111 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,130 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,151 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,335 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,336 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,348 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,360 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,368 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,370 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,371 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,372 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,373 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,374 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,375 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,376 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,377 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,378 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,380 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,381 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,382 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,383 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,384 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,385 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,386 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,388 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,400 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,410 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,411 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,430 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,451 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,500 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,510 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,511 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,530 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,551 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,670 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,672 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,675 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,677 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,678 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,680 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,700 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,710 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,711 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,730 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,751 ** $7 (dpes)  (data provenance)
script,structured description,aligns with,856 ** $e (dpes)  (data provenance)
