RDA,mapping,MARC 21 Authority encoding string and recording method
rdaw:P10406,rdakit:hasM21,083 ** $2 [identifier]
rdaw:P10061,rdakit:hasM21,083 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,083 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,083 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,083 ** $a [structured description]
rdaw:P10256,rdakit:hasM21,083 ** $b [structured description]
rdaw:P10406,rdakit:hasM21,086 ** $2 [identifier]
rdaw:P10061,rdakit:hasM21,086 ** $5 [identifier] (recording an agent who records metadata)
rdam:P30083,rdakit:hasM21,086 ** $5 [identifier] (recording an agent who publishes metadata)
rdae:P20065,rdakit:hasM21,086 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,086 ** $a [structured description]
rdaw:P10406,rdakit:hasM21,087 ** $0 [identifier]
rdaw:P10406,rdakit:hasM21,087 ** $1 [IRI]
rdaw:P10406,rdakit:hasM21,087 ** $2 [identifier]
rdae:P20065,rdakit:hasM21,087 ** $6 [identifier] (recording a script of description)
rdaw:P10256,rdakit:hasM21,087 ** $a [structured description]
rdaw:P10256,rdakit:hasM21,087 ** $b [structured description]
rdae:P20065,rdakit:hasM21,100 ** $6 [identifier] (recording a script of description)
rdae:P20313,rdakit:hasM21,"100 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, q, r, s, t [structured description]"
rdaw:P10331,rdakit:hasM21,"100 ** $a, b, c, d, f, g, m, n, p, q, r, t [structured description]"
rdaa:P50373,rdakit:hasM21,"100 ** $a, b, c, d, g, q [structured description]"
rdaa:P50403,rdakit:hasM21,"100 ** $a, b, c, d, g, q [structured description]"
rdaa:P50110,rdakit:hasM21,100 ** $c [structured description]
rdaw:P10219,rdakit:hasM21,100 ** $f [structured description]
rdae:P20006,rdakit:hasM21,100 ** $l [structured description]
rdaw:P10220,rdakit:hasM21,100 ** $m [structured description]
rdaw:P10079,rdakit:hasM21,100 ** $n [identifier]
rdaw:P10221,rdakit:hasM21,100 ** $r [structured description]
rdaa:P50292,rdakit:hasM21,100 0* $a [unstructured description]
rdaa:P50377,rdakit:hasM21,"100 0* $a, b, c, d, g, q [structured description]"
rdaa:P50411,rdakit:hasM21,"100 0* $a, b, c, d, g, q [structured description]"
rdaa:P50121,rdakit:hasM21,100 0* $d [structured description]
rdaa:P50120,rdakit:hasM21,100 0* $d [structured description]
rdaa:P50115,rdakit:hasM21,100 0* $q [unstructured description]
rdaa:P50292,rdakit:hasM21,100 0* $q [unstructured description]
rdaa:P50292,rdakit:hasM21,100 1* $a [unstructured description]
rdaa:P50291,rdakit:hasM21,100 1* $a [unstructured description]
rdaa:P50377,rdakit:hasM21,"100 1* $a, b, c, d, g, q [structured description]"
rdaa:P50411,rdakit:hasM21,"100 1* $a, b, c, d, g, q [structured description]"
rdaa:P50121,rdakit:hasM21,100 1* $d [structured description]
rdaa:P50120,rdakit:hasM21,100 1* $d [structured description]
rdaa:P50115,rdakit:hasM21,100 1* $q [unstructured description]
rdaa:P50292,rdakit:hasM21,100 1* $q [unstructured description]
rdaa:P50374,rdakit:hasM21,"100 3* $a, c, d, g [structured description]"
rdaa:P50376,rdakit:hasM21,"100 3* $a, c, d, g [structured description]"
rdaa:P50405,rdakit:hasM21,"100 3* $a, c, d, g [structured description]"
rdaa:P50409,rdakit:hasM21,"100 3* $a, c, d, g [structured description]"
rdaa:P50024,rdakit:hasM21,110 ** $0 [identifier]
rdaa:P50024,rdakit:hasM21,110 ** $1 [IRI]
rdae:P20065,rdakit:hasM21,110 ** $6 [identifier] (recording a script of description)
rdaa:P50037,rdakit:hasM21,110 ** $a [structured description]
rdaa:P50038,rdakit:hasM21,110 ** $a [structured description]
rdaa:P50236,rdakit:hasM21,110 ** $a [structured description]
rdae:P20313,rdakit:hasM21,"110 ** $a, b, c, d, f, g, h, k, l, m, n, o, p, r, s, t [structured description]"
rdaw:P10331,rdakit:hasM21,"110 ** $a, b, c, d, f, g, m, n, p, r, t [structured description]"
rdaa:P50373,rdakit:hasM21,"110 ** $a, b, c, d, g [structured description]"
rdaa:P50374,rdakit:hasM21,"110 ** $a, b, c, d, g [structured description]"
rdaa:P50375,rdakit:hasM21,"110 ** $a, b, c, d, g [structured description]"
rdaa:P50403,rdakit:hasM21,"110 ** $a, b, c, d, g [structured description]"
rdaa:P50405,rdakit:hasM21,"110 ** $a, b, c, d, g [structured description]"
rdaa:P50407,rdakit:hasM21,"110 ** $a, b, c, d, g [structured description]"
rdaa:P50024,rdakit:hasM21,110 ** $c [structured description]
rdaa:P50039,rdakit:hasM21,110 ** $d [structured description]
rdaw:P10219,rdakit:hasM21,110 ** $f [structured description]
rdae:P20006,rdakit:hasM21,110 ** $l [structured description]
rdaw:P10220,rdakit:hasM21,110 ** $m [structured description]
rdaa:P50019,rdakit:hasM21,110 ** $n [structured description]
rdaw:P10079,rdakit:hasM21,110 ** $n [identifier]
rdaw:P10221,rdakit:hasM21,110 ** $r [structured description]
rdaw:P10292,rdakit:hasM21,110 1* $a [structured description]
rdaa:P50338,rdakit:hasM21,110 1* $a [structured description]
rdaa:P50350,rdakit:hasM21,110 1* $a [structured description]
rdaw:P10292,rdakit:hasM21,110 1* $g [structured description]
rdaa:P50024,rdakit:hasM21,111 ** $0 [identifier]
rdaa:P50024,rdakit:hasM21,111 ** $1 [IRI]
rdae:P20065,rdakit:hasM21,111 ** $6 [identifier] (recording a script of description)
rdaa:P50037,rdakit:hasM21,111 ** $a [structured description]
rdaa:P50038,rdakit:hasM21,111 ** $a [structured description]
