RDA,mapping,DC term
rdae:P20534,rdfs:subPropertyOf,dct:contributor
rdae:P20535,rdfs:subPropertyOf,dct:contributor
rdae:P20536,rdfs:subPropertyOf,dct:contributor
rdae:P20537,rdfs:subPropertyOf,dct:contributor
rdae:P20538,rdfs:subPropertyOf,dct:contributor
rdae:P20539,rdfs:subPropertyOf,dct:contributor
rdae:P20540,rdfs:subPropertyOf,dct:contributor
rdae:P20541,rdfs:subPropertyOf,dct:contributor
rdae:P20542,rdfs:subPropertyOf,dct:contributor
rdae:P20543,rdfs:subPropertyOf,dct:contributor
rdae:P20544,rdfs:subPropertyOf,dct:contributor
rdae:P20545,rdfs:subPropertyOf,dct:contributor
rdae:P20546,rdfs:subPropertyOf,dct:contributor
rdae:P20547,rdfs:subPropertyOf,dct:contributor
rdae:P20548,rdfs:subPropertyOf,dct:contributor
rdae:P20549,rdfs:subPropertyOf,dct:contributor
rdae:P20550,rdfs:subPropertyOf,dct:contributor
rdae:P20551,rdfs:subPropertyOf,dct:contributor
rdae:P20552,rdfs:subPropertyOf,dct:contributor
rdae:P20553,rdfs:subPropertyOf,dct:contributor
rdae:P20554,rdfs:subPropertyOf,dct:contributor
rdae:P20555,rdfs:subPropertyOf,dct:contributor
rdae:P20556,rdfs:subPropertyOf,dct:contributor
rdae:P20557,rdfs:subPropertyOf,dct:contributor
rdae:P20558,rdfs:subPropertyOf,dct:contributor
rdae:P20559,rdfs:subPropertyOf,dct:contributor
rdae:P20560,rdfs:subPropertyOf,dct:contributor
rdae:P20562,rdfs:subPropertyOf,dct:contributor
rdae:P20563,rdfs:subPropertyOf,dct:contributor
rdae:P20564,rdfs:subPropertyOf,dct:contributor
rdae:P20565,rdfs:subPropertyOf,dct:contributor
rdae:P20566,rdfs:subPropertyOf,dct:contributor
rdae:P20567,rdfs:subPropertyOf,dct:contributor
rdae:P20568,rdfs:subPropertyOf,dct:contributor
rdae:P20569,rdfs:subPropertyOf,dct:contributor
rdae:P20570,rdfs:subPropertyOf,dct:contributor
rdae:P20571,rdfs:subPropertyOf,dct:contributor
rdae:P20573,rdfs:subPropertyOf,dct:format
rdai:P40001,rdfs:subPropertyOf,dct:identifier
rdai:P40012,rdfs:subPropertyOf,dct:contributor
rdai:P40014,rdfs:subPropertyOf,dct:contributor
rdai:P40024,rdfs:subPropertyOf,dct:contributor
rdai:P40026,rdfs:subPropertyOf,dct:description
rdai:P40028,rdfs:subPropertyOf,dct:description
rdai:P40046,rdfs:subPropertyOf,dct:relation
rdai:P40047,rdfs:subPropertyOf,dct:accessRights
rdai:P40048,rdfs:subPropertyOf,dct:rights
rdai:P40069,rdfs:subPropertyOf,dct:relation
rdai:P40070,rdfs:subPropertyOf,dct:relation
rdai:P40071,rdfs:subPropertyOf,dct:relation
rdai:P40080,rdfs:subPropertyOf,dct:title
rdai:P40082,rdfs:subPropertyOf,dct:title
rdai:P40083,rdfs:subPropertyOf,dct:title
rdai:P40084,rdfs:subPropertyOf,dct:title
rdai:P40085,rdfs:subPropertyOf,dct:title
rdai:P40086,rdfs:subPropertyOf,dct:title
rdai:P40088,rdfs:subPropertyOf,dct:hasFormat
rdai:P40091,rdfs:subPropertyOf,dct:hasFormat
rdai:P40092,rdfs:subPropertyOf,dct:hasFormat
rdai:P40093,rdfs:subPropertyOf,dct:contributor
rdai:P40096,rdfs:subPropertyOf,dct:type
rdai:P40100,rdfs:subPropertyOf,dct:contributor
rdai:P40111,rdfs:subPropertyOf,dct:contributor
rdai:P40112,rdfs:subPropertyOf,dct:contributor
rdai:P40116,rdfs:subPropertyOf,dct:contributor
rdai:P40127,rdfs:subPropertyOf,dct:contributor
rdai:P40128,rdfs:subPropertyOf,dct:contributor
rdai:P40132,rdfs:subPropertyOf,dct:contributor
rdai:P40143,rdfs:subPropertyOf,dct:contributor
rdai:P40144,rdfs:subPropertyOf,dct:contributor
rdai:P40148,rdfs:subPropertyOf,dct:contributor
rdai:P40159,rdfs:subPropertyOf,dct:contributor
rdai:P40160,rdfs:subPropertyOf,dct:contributor
rdam:P30001,rdfs:subPropertyOf,dct:format
rdam:P30002,rdfs:subPropertyOf,dct:format
rdam:P30003,rdfs:subPropertyOf,dct:format
rdam:P30004,rdfs:subPropertyOf,dct:identifier
rdam:P30006,rdfs:subPropertyOf,dct:format
rdam:P30007,rdfs:subPropertyOf,dct:dateCopyrighted
rdam:P30008,rdfs:subPropertyOf,dct:issued
rdam:P30009,rdfs:subPropertyOf,dct:issued
rdam:P30010,rdfs:subPropertyOf,dct:issued
rdam:P30011,rdfs:subPropertyOf,dct:issued
rdam:P30016,rdfs:subPropertyOf,dct:hasFormat
rdam:P30020,rdfs:subPropertyOf,dct:isPartOf
rdam:P30033,rdfs:subPropertyOf,dct:hasPart
rdam:P30038,rdfs:subPropertyOf,dct:hasFormat
rdam:P30039,rdfs:subPropertyOf,dct:hasFormat
rdam:P30043,rdfs:subPropertyOf,dct:isFormatOf
rdam:P30048,rdfs:subPropertyOf,dct:relation
rdam:P30052,rdfs:subPropertyOf,dct:description
rdam:P30053,rdfs:subPropertyOf,dct:description
rdam:P30054,rdfs:subPropertyOf,dct:description
rdam:P30055,rdfs:subPropertyOf,dct:description
rdam:P30057,rdfs:subPropertyOf,dct:description
rdam:P30058,rdfs:subPropertyOf,dct:description
rdam:P30064,rdfs:subPropertyOf,dct:description
rdam:P30065,rdfs:subPropertyOf,dct:identifier
rdam:P30066,rdfs:subPropertyOf,dct:identifier
rdam:P30067,rdfs:subPropertyOf,dct:publisher
rdam:P30068,rdfs:subPropertyOf,dct:publisher
rdam:P30069,rdfs:subPropertyOf,dct:publisher
rdam:P30070,rdfs:subPropertyOf,dct:publisher
rdam:P30071,rdfs:subPropertyOf,dct:publisher
rdam:P30072,rdfs:subPropertyOf,dct:publisher
rdam:P30073,rdfs:subPropertyOf,dct:publisher
rdam:P30074,rdfs:subPropertyOf,dct:publisher
rdam:P30075,rdfs:subPropertyOf,dct:publisher
rdam:P30076,rdfs:subPropertyOf,dct:publisher
rdam:P30077,rdfs:subPropertyOf,dct:publisher
rdam:P30078,rdfs:subPropertyOf,dct:publisher
rdam:P30080,rdfs:subPropertyOf,dct:publisher
rdam:P30081,rdfs:subPropertyOf,dct:publisher
rdam:P30082,rdfs:subPropertyOf,dct:publisher
rdam:P30083,rdfs:subPropertyOf,dct:publisher
rdam:P30084,rdfs:subPropertyOf,dct:medium
rdam:P30093,rdfs:subPropertyOf,dct:isFormatOf
rdam:P30096,rdfs:subPropertyOf,dct:format
rdam:P30097,rdfs:subPropertyOf,dct:identifier
rdam:P30098,rdfs:subPropertyOf,dct:identifier
rdam:P30099,rdfs:subPropertyOf,dct:identifier
rdam:P30100,rdfs:subPropertyOf,dct:identifier
rdam:P30102,rdfs:subPropertyOf,dct:format
rdam:P30104,rdfs:subPropertyOf,dct:format
rdam:P30105,rdfs:subPropertyOf,dct:description
rdam:P30106,rdfs:subPropertyOf,dct:description
rdam:P30107,rdfs:subPropertyOf,dct:description
rdam:P30108,rdfs:subPropertyOf,dct:description
rdam:P30109,rdfs:subPropertyOf,dct:description
rdam:P30110,rdfs:subPropertyOf,dct:description
rdam:P30111,rdfs:subPropertyOf,dct:description
rdam:P30112,rdfs:subPropertyOf,dct:description
