canonical uri,mapping,lexical uri
rdaa:P50294,owl:sameAs,rdaa:castingDirectorAgentOf.en
rdaa:P50295,owl:sameAs,rdaa:audioProducerAgentOf.en
rdaa:P50296,owl:sameAs,rdaa:audioEngineerAgentOf.en
rdaa:P50297,owl:sameAs,rdaa:mixingEngineerAgentOf.en
rdaa:P50298,owl:sameAs,rdaa:djAgentOf.en
rdaa:P50299,owl:sameAs,rdaa:dubbingDirectorAgentOf.en
rdaa:P50300,owl:sameAs,rdaa:musicProgrammerAgentOf.en
rdaa:P50301,owl:sameAs,rdaa:absorbedCorporateBody.en
rdaa:P50302,owl:sameAs,rdaa:absorbingCorporateBody.en
rdaa:P50303,owl:sameAs,rdaa:jointlyHeldConference.en
rdaa:P50304,owl:sameAs,rdaa:relatedRDAEntityOfAgent.en
rdaa:P50305,owl:sameAs,rdaa:relatedWorkOfAgent.en
rdaa:P50306,owl:sameAs,rdaa:relatedExpressionOfAgent.en
rdaa:P50307,owl:sameAs,rdaa:relatedManifestationOfAgent.en
rdaa:P50308,owl:sameAs,rdaa:relatedItemOfAgent.en
rdaa:P50309,owl:sameAs,rdaa:relatedAgentOfAgent.en
rdaa:P50310,owl:sameAs,rdaa:relatedRDAEntityOfPerson.en
rdaa:P50311,owl:sameAs,rdaa:relatedWorkOfPerson.en
rdaa:P50312,owl:sameAs,rdaa:relatedExpressionOfPerson.en
rdaa:P50313,owl:sameAs,rdaa:relatedManifestationOfPerson.en
rdaa:P50314,owl:sameAs,rdaa:relatedItemOfPerson.en
rdaa:P50315,owl:sameAs,rdaa:relatedAgentOfPerson.en
rdaa:P50316,owl:sameAs,rdaa:relatedPersonOfPerson.en
rdaa:P50317,owl:sameAs,rdaa:relatedFamilyOfPerson.en
rdaa:P50318,owl:sameAs,rdaa:relatedCorporateBodyOfPerson.en
rdaa:P50319,owl:sameAs,rdaa:relatedRDAEntityOfFamily.en
rdaa:P50320,owl:sameAs,rdaa:relatedWorkOfFamily.en
rdaa:P50321,owl:sameAs,rdaa:relatedExpressionOfFamily.en
rdaa:P50322,owl:sameAs,rdaa:relatedManifestationOfFamily.en
rdaa:P50323,owl:sameAs,rdaa:relatedItemOfFamily.en
rdaa:P50324,owl:sameAs,rdaa:relatedAgentOfFamily.en
rdaa:P50325,owl:sameAs,rdaa:relatedPersonOfFamily.en
rdaa:P50326,owl:sameAs,rdaa:relatedFamilyOfFamily.en
rdaa:P50327,owl:sameAs,rdaa:relatedCorporateBodyOfFamily.en
rdaa:P50328,owl:sameAs,rdaa:relatedRDAEntityOfCorporateBody.en
rdaa:P50329,owl:sameAs,rdaa:relatedWorkOfCorporateBody.en
rdaa:P50330,owl:sameAs,rdaa:relatedExpressionOfCorporateBody.en
rdaa:P50331,owl:sameAs,rdaa:relatedManifestationOfCorporateBody.en
rdaa:P50332,owl:sameAs,rdaa:relatedItemOfCorporateBody.en
rdaa:P50333,owl:sameAs,rdaa:relatedAgentOfCorporateBody.en
rdaa:P50334,owl:sameAs,rdaa:relatedPersonOfCorporateBody.en
rdaa:P50335,owl:sameAs,rdaa:relatedFamilyOfCorporateBody.en
rdaa:P50336,owl:sameAs,rdaa:relatedCorporateBodyOfCorporateBody.en
rdaa:P50337,owl:sameAs,rdaa:relatedCollectiveAgentOfAgent.en
rdaa:P50338,owl:sameAs,rdaa:relatedPlaceOfAgent.en
rdaa:P50339,owl:sameAs,rdaa:relatedTimespanOfAgent.en
rdaa:P50340,owl:sameAs,rdaa:relatedNomenOfAgent.en
rdaa:P50341,owl:sameAs,rdaa:relatedCollectiveAgentOfCollectiveAgent.en
rdaa:P50342,owl:sameAs,rdaa:relatedPlaceOfCollectiveAgent.en
rdaa:P50343,owl:sameAs,rdaa:relatedTimespanOfCollectiveAgent.en
rdaa:P50344,owl:sameAs,rdaa:relatedNomenOfCollectiveAgent.en
rdaa:P50345,owl:sameAs,rdaa:relatedCollectiveAgentOfPerson.en
rdaa:P50346,owl:sameAs,rdaa:relatedPlaceOfPerson.en
rdaa:P50347,owl:sameAs,rdaa:relatedTimespanOfPerson.en
rdaa:P50348,owl:sameAs,rdaa:relatedNomenOfPerson.en
rdaa:P50349,owl:sameAs,rdaa:relatedCollectiveAgentOfCorporateBody.en
rdaa:P50350,owl:sameAs,rdaa:relatedPlaceOfCorporateBody.en
rdaa:P50351,owl:sameAs,rdaa:relatedTimespanOfCorporateBody.en
rdaa:P50352,owl:sameAs,rdaa:relatedNomenOfCorporateBody.en
rdaa:P50353,owl:sameAs,rdaa:relatedCollectiveAgentOfFamily.en
rdaa:P50354,owl:sameAs,rdaa:relatedPlaceOfFamily.en
rdaa:P50355,owl:sameAs,rdaa:relatedTimespanOfFamily.en
rdaa:P50356,owl:sameAs,rdaa:relatedNomenOfFamily.en
rdaa:P50357,owl:sameAs,rdaa:relatedWorkOfCollectiveAgent.en
rdaa:P50358,owl:sameAs,rdaa:relatedAgentOfCollectiveAgent.en
rdaa:P50359,owl:sameAs,rdaa:relatedCorporateBodyOfCollectiveAgent.en
rdaa:P50360,owl:sameAs,rdaa:relatedRDAEntityOfCollectiveAgent.en
rdaa:P50361,owl:sameAs,rdaa:relatedExpressionOfCollectiveAgent.en
rdaa:P50362,owl:sameAs,rdaa:relatedFamilyOfCollectiveAgent.en
rdaa:P50363,owl:sameAs,rdaa:relatedItemOfCollectiveAgent.en
rdaa:P50364,owl:sameAs,rdaa:relatedManifestationOfCollectiveAgent.en
rdaa:P50365,owl:sameAs,rdaa:relatedPersonOfCollectiveAgent.en
rdaa:P50366,owl:sameAs,rdaa:subjectAgentOf.en
rdaa:P50367,owl:sameAs,rdaa:subjectCollectiveAgentOf.en
rdaa:P50368,owl:sameAs,rdaa:personDescribedIn.en
rdaa:P50369,owl:sameAs,rdaa:corporateBodyDescribedIn.en
rdaa:P50370,owl:sameAs,rdaa:familyDescribedIn.en
rdaa:P50371,owl:sameAs,rdaa:sponsoredCorporateBodyOfPerson.en
rdaa:P50372,owl:sameAs,rdaa:descendantFamilyOfFamilyOf.en
rdaa:P50373,owl:sameAs,rdaa:accessPointForAgent.en
rdaa:P50374,owl:sameAs,rdaa:accessPointForCollectiveAgent.en
rdaa:P50375,owl:sameAs,rdaa:accessPointForCorporateBody.en
rdaa:P50376,owl:sameAs,rdaa:accessPointForFamily.en
rdaa:P50377,owl:sameAs,rdaa:accessPointForPerson.en
rdaa:P50378,owl:sameAs,rdaa:appellationOfAgent.en
rdaa:P50379,owl:sameAs,rdaa:appellationOfCollectiveAgent.en
rdaa:P50380,owl:sameAs,rdaa:appellationOfCorporateBody.en
rdaa:P50381,owl:sameAs,rdaa:appellationOfFamily.en
rdaa:P50382,owl:sameAs,rdaa:appellationOfPerson.en
rdaa:P50383,owl:sameAs,rdaa:identifierForAgent.en
rdaa:P50384,owl:sameAs,rdaa:identifierForCollectiveAgent.en
rdaa:P50385,owl:sameAs,rdaa:nameOfAgent.en
rdaa:P50386,owl:sameAs,rdaa:nameOfCollectiveAgent.en
rdaa:P50387,owl:sameAs,rdaa:fieldOfActivityOfAgent.en
rdaa:P50388,owl:sameAs,rdaa:fieldOfActivityOfCollectiveAgent.en
rdaa:P50389,owl:sameAs,rdaa:fieldOfActivityOfFamily.en
rdaa:P50391,owl:sameAs,rdaa:noteOnAgent.en
rdaa:P50392,owl:sameAs,rdaa:noteOnCollectiveAgent.en
rdaa:P50393,owl:sameAs,rdaa:noteOnCorporateBody.en
rdaa:P50394,owl:sameAs,rdaa:noteOnFamily.en
rdaa:P50395,owl:sameAs,rdaa:noteOnPerson.en
rdaa:P50396,owl:sameAs,rdaa:assignerAgentOf.en
rdaa:P50397,owl:sameAs,rdaa:assignerCollectiveAgentOf.en
rdaa:P50398,owl:sameAs,rdaa:assignerCorporateBodyOf.en
rdaa:P50399,owl:sameAs,rdaa:assignerFamilyOf.en
rdaa:P50400,owl:sameAs,rdaa:assignerPersonOf.en
rdaa:P50401,owl:sameAs,rdaa:languageOfAgent.en
rdaa:P50402,owl:sameAs,rdaa:languageOfCollectiveAgent.en
rdaa:P50403,owl:sameAs,rdaa:authorizedAccessPointForAgent.en
rdaa:P50404,owl:sameAs,rdaa:variantAccessPointForAgent.en
rdaa:P50405,owl:sameAs,rdaa:authorizedAccessPointForCollectiveAgent.en
rdaa:P50406,owl:sameAs,rdaa:variantAccessPointForCollectiveAgent.en
rdaa:P50407,owl:sameAs,rdaa:authorizedAccessPointForCorporateBody.en
rdaa:P50408,owl:sameAs,rdaa:variantAccessPointForCorporateBody.en
rdaa:P50409,owl:sameAs,rdaa:authorizedAccessPointForFamily.en
rdaa:P50410,owl:sameAs,rdaa:variantAccessPointForFamily.en
rdaa:P50411,owl:sameAs,rdaa:authorizedAccessPointForPerson.en
rdaa:P50412,owl:sameAs,rdaa:variantAccessPointForPerson.en
rdaa:P50413,owl:sameAs,rdaa:preferredNameOfAgent.en
rdaa:P50414,owl:sameAs,rdaa:preferredNameOfCollectiveAgent.en
rdaa:P50415,owl:sameAs,rdaa:variantNameOfAgent.en
rdaa:P50416,owl:sameAs,rdaa:variantNameOfCollectiveAgent.en
rdaa:P50417,owl:sameAs,rdaa:prominentMemberOfFamilyOf.en
rdaa:P50418,owl:sameAs,rdaa:addressOfAgent.en
rdaa:P50419,owl:sameAs,rdaa:addressOfCollectiveAgent.en
rdaa:P50420,owl:sameAs,rdaa:addressOfFamily.en
rdaa:P50421,owl:sameAs,rdaa:predecessorOfCollectiveAgent.en
rdaa:P50422,owl:sameAs,rdaa:predecessorOfFamily.en
