Canonical URI,Lexical alias (English)
rdae:P20273,rdae:evaluatedInExpression.en
rdae:P20274,rdae:reviewedInExpression.en
rdae:P20275,rdae:writerOfForeword.en
rdae:P20276,rdae:soundDesigner.en
rdae:P20277,rdae:lightingDesigner.en
rdae:P20278,rdae:detailsOfDuration.en
rdae:P20279,rdae:onScreenParticipant.en
rdae:P20280,rdae:softwareDeveloper.en
rdae:P20281,rdae:oratorioAdaptationOfExpression.en
rdae:P20282,rdae:adaptedAsOratorioExpression.en
rdae:P20283,rdae:colourist.en
rdae:P20284,rdae:makeUpArtist.en
rdae:P20285,rdae:choralConductor.en
rdae:P20286,rdae:instrumentalConductor.en
rdae:P20287,rdae:censor.en
rdae:P20288,rdae:photographerExpression.en
rdae:P20289,rdae:restorationistExpression.en
rdae:P20290,rdae:aspectRatioDesignation.en
rdae:P20291,rdae:scaleDesignation.en
rdae:P20292,rdae:audioEngineer.en
rdae:P20293,rdae:mixingEngineer.en
rdae:P20294,rdae:musicProgrammer.en
rdae:P20295,rdae:dubbingDirector.en
rdae:P20296,rdae:DJ.en
rdae:P20297,rdae:relatedEntityExpression.en
rdae:P20298,rdae:relatedWorkExpression.en
rdae:P20299,rdae:relatedManifestationExpression.en
rdae:P20300,rdae:relatedItemExpression.en
rdae:P20301,rdae:relatedAgentExpression.en
rdae:P20302,rdae:relatedPersonExpression.en
rdae:P20303,rdae:relatedFamilyExpression.en
rdae:P20304,rdae:relatedCorporateBodyExpression.en
rdae:P20305,rdae:relatedCollectiveAgentExpression.en
rdae:P20306,rdae:relatedPlaceExpression.en
rdae:P20307,rdae:relatetdTimespanExpression.en
rdae:P20308,rdae:relatedNomenExpression.en
