Canonical uri,Lexical alias (English)
rdaa:P50358,rdaa:relatedAgentOfCollectiveAgent.en
rdaa:P50359,rdaa:relatedCorporateBodyOfCollectiveAgent.en
rdaa:P50360,rdaa:relatedRDAEntityOfCollectiveAgent.en
rdaa:P50361,rdaa:relatedExpressionOfCollectiveAgent.en
rdaa:P50362,rdaa:relatedFamilyOfCollectiveAgent.en
rdaa:P50363,rdaa:relatedItemOfCollectiveAgent.en
rdaa:P50364,rdaa:relatedManifestationOfCollectiveAgent.en
rdaa:P50365,rdaa:relatedPersonOfCollectiveAgent.en
rdaa:P50366,rdaa:subjectAgentOf.en
rdaa:P50367,rdaa:subjectCollectiveAgentOf.en
rdaa:P50368,rdaa:personDescribedBy.en
rdaa:P50369,rdaa:corporateBodyDescribedBy.en
rdaa:P50370,rdaa:familyDescribedBy.en
rdaa:P50371,rdaa:sponsoredCorporateBodyOfPerson.en
rdaa:P50372,rdaa:descendantFamilyOfFamilyOf.en
rdaa:P50373,rdaa:accessPointForAgent.en
rdaa:P50374,rdaa:accessPointForCollectiveAgent.en
rdaa:P50375,rdaa:accessPointForCorporateBody.en
rdaa:P50376,rdaa:accessPointForFamily.en
rdaa:P50377,rdaa:accessPointForPerson.en
rdaa:P50378,rdaa:appellationOfAgent.en
rdaa:P50379,rdaa:appellationOfCollectiveAgent.en
rdaa:P50380,rdaa:appellationOfCorporateBody.en
rdaa:P50381,rdaa:appellationOfFamily.en
rdaa:P50382,rdaa:appellationOfPerson.en
rdaa:P50383,rdaa:identifierForAgent.en
rdaa:P50384,rdaa:identifierForCollectiveAgent.en
rdaa:P50385,rdaa:nameOfAgent.en
rdaa:P50386,rdaa:nameOfCollectiveAgent.en
rdaa:P50387,rdaa:fieldOfActivityOfAgent.en
rdaa:P50388,rdaa:fieldOfActivityOfCollectiveAgent.en
rdaa:P50389,rdaa:fieldOfActivityOfFamily.en
rdaa:P50391,rdaa:noteOnAgent.en
rdaa:P50392,rdaa:noteOnCollectiveAgent.en
rdaa:P50393,rdaa:noteOnCorporateBody.en
rdaa:P50394,rdaa:noteOnFamily.en
rdaa:P50395,rdaa:noteOnPerson.en
rdaa:P50396,rdaa:assignerAgentOf.en
rdaa:P50397,rdaa:assignerCollectiveAgentOf.en
rdaa:P50398,rdaa:assignerCorporateBodyOf.en
rdaa:P50399,rdaa:assignerFamilyOf.en
rdaa:P50400,rdaa:assignerPersonOf.en
rdaa:P50401,rdaa:languageOfAgent.en
rdaa:P50402,rdaa:languageOfCollectiveAgent.en
rdaa:P50403,rdaa:authorizedAccessPointForAgent.en
rdaa:P50404,rdaa:variantAccessPointForAgent.en
rdaa:P50405,rdaa:authorizedAccessPointForCollectiveAgent.en
rdaa:P50406,rdaa:variantAccessPointForCollectiveAgent.en
rdaa:P50407,rdaa:authorizedAccessPointForCorporateBody.en
rdaa:P50408,rdaa:variantAccessPointForCorporateBody.en
rdaa:P50409,rdaa:authorizedAccessPointForFamily.en
rdaa:P50410,rdaa:variantAccessPointForFamily.en
rdaa:P50411,rdaa:authorizedAccessPointForPerson.en
rdaa:P50412,rdaa:variantAccessPointForPerson.en
rdaa:P50413,rdaa:preferredNameOfAgent.en
rdaa:P50414,rdaa:preferredNameOfCollectiveAgent.en
rdaa:P50415,rdaa:variantNameOfAgent.en
rdaa:P50416,rdaa:variantNameOfCollectiveAgent.en
rdaa:P50417,rdaa:prominentMemberOfFamilyOf.en
rdaa:P50418,rdaa:addressOfAgent.en
rdaa:P50419,rdaa:addressOfCollectiveAgent.en
rdaa:P50420,rdaa:addressOfFamily.en
rdaa:P50421,rdaa:predecessorOfCollectiveAgent.en
rdaa:P50422,rdaa:predecessorOfFamily.en
rdaa:P50423,rdaa:successorOfCollectiveAgent.en
rdaa:P50424,rdaa:successorOfFamily.en
rdaa:P50425,rdaa:jurisdictionGoverned.en
rdaa:P50426,rdaa:agentDescribedBy.en
rdaa:P50427,rdaa:collectiveAgentDescribedBy.en
rdaa:P50428,rdaa:alternateIdentityOfPerson.en
rdaa:P50429,rdaa:realIdentityOfPerson.en
rdaa:P50430,rdaa:periodOfActivityOfAgent.en
rdaa:P50431,rdaa:periodOfActivityOfCollectiveAgent.en
rdaa:P50432,rdaa:periodOfActivityOfFamily.en
rdaa:P50433,rdaa:corporateBodyMemberOfCollectiveAgent.en
rdaa:P50435,rdaa:corporateBodyMemberOfFamily.en
rdaa:P50436,rdaa:familyMemberOfCollectiveAgent.en
rdaa:P50437,rdaa:familyMemberOfCorporateBody.en
rdaa:P50438,rdaa:familyMemberOfFamily.en
rdaa:P50439,rdaa:corporateBodyMemberOfCollectiveAgentOf.en
rdaa:P50440,rdaa:corporateBodyMemberOfFamilyOf.en
rdaa:P50441,rdaa:familyMemberOfCollectiveAgentOf.en
rdaa:P50442,rdaa:familyMemberOfCorporateBodyOf.en
rdaa:P50443,rdaa:familyMemberOfFamilyOf.en
rdaa:P50444,rdaa:personMemberOfCollectiveAgentOf.en
rdaa:P50445,rdaa:personMemberOfCollectiveAgent.en
rdaa:P50446,rdaa:modifierAgentOf.en
rdaa:P50447,rdaa:reviserAgentOf.en
rdaa:P50448,rdaa:contributorAgentToAmalgamationOf.en
rdaa:P50449,rdaa:contributorAgentToPerformanceOf.en
rdaa:P50450,rdaa:editorAgentOf.en
rdaa:P50453,rdaa:aggregatorAgentOf.en
rdaa:P50454,rdaa:criminalDefendantCorporateBodyOf.en
rdaa:P50455,rdaa:criminalDefendantPersonOf.en
rdaa:P50456,rdaa:civilDefendantCorporateBodyOf.en
rdaa:P50457,rdaa:civilDefendantPersonOf.en
rdaa:P50458,rdaa:academicSupervisorOf.en
rdaa:P50459,rdaa:contributorAgentOfMusicOf.en
rdaa:P50460,rdaa:surveyorAgentOf.en
rdaa:P50463,rdaa:contributorAgentOfCartographyOf.en
rdaa:P50464,rdaa:contributorAgentOfChoreographyOf.en
rdaa:P50469,rdaa:contributorAgentOfStillImageOf.en
rdaa:P50474,rdaa:contributorAgentOfMovingImageOf.en
rdaa:P50475,rdaa:contributorAgentOfTextOf.en
rdaa:P50476,rdaa:contributorAgentToAggregateOf.en
rdaa:P50477,rdaa:creatorAgentOfManifestationOf.en
rdaa:P50478,rdaa:relatedEntityOfAgent.en
rdaa:P50479,rdaa:relatedEntityOfCollectiveAgent.en
rdaa:P50480,rdaa:relatedEntityOfCorporateBody.en
rdaa:P50481,rdaa:relatedEntityOfFamily.en
rdaa:P50482,rdaa:relatedEntityOfPerson.en
rdaa:P50483,rdaa:contributorAgentOfSpeechOf.en
rdaa:P50484,rdaa:contributorAgentOfObjectOf.en
rdaa:P50485,rdaa:contributorAgentOfComputerContentOf.en
rdaa:P50486,rdaa:researchSupervisorOf.en
rdaa:P50487,rdaa:projectSupervisorOf.en
rdaa:P50489,rdaa:categoryOfPerson.en
rdaa:P50490,rdaa:categoryOfAgent.en
rdaa:P50491,rdaa:categoryOfCollectiveAgent.en
rdaa:P50492,rdaa:choreographerPersonOf.en
rdaa:P50493,rdaa:broadcasterPersonOf.en
rdaa:P50494,rdaa:creatorPersonOfManifestationOf.en
rdaa:P50495,rdaa:engraverPersonOf.en
rdaa:P50496,rdaa:filmDistributorPersonOf.en
rdaa:P50497,rdaa:distributorPersonOf.en
rdaa:P50498,rdaa:brailleEmbosserPersonOf.en
rdaa:P50499,rdaa:producerPersonOfUnpublishedManifestationOf.en
rdaa:P50500,rdaa:printmakerPersonOf.en
rdaa:P50501,rdaa:printerPersonOf.en
rdaa:P50502,rdaa:casterPersonOf.en
rdaa:P50503,rdaa:lithographerPersonOf.en
rdaa:P50504,rdaa:platemakerPersonOf.en
rdaa:P50505,rdaa:manufacturerPersonOf.en
rdaa:P50506,rdaa:papermakerPersonOf.en
rdaa:P50507,rdaa:publisherPersonOf.en
rdaa:P50508,rdaa:etcherPersonOf.en
rdaa:P50509,rdaa:bookDesignerPersonOf.en
rdaa:P50510,rdaa:collotyperPersonOf.en
rdaa:P50511,rdaa:contributorPersonOfCartographyOf.en
rdaa:P50512,rdaa:contributorPersonOfChoreographyOf.en
rdaa:P50513,rdaa:contributorPersonOfMovingImageOf.en
rdaa:P50514,rdaa:contributorPersonOfMusicOf.en
rdaa:P50515,rdaa:contributorPersonOfSpeechOf.en
rdaa:P50516,rdaa:contributorPersonOfStillImageOf.en
rdaa:P50517,rdaa:contributorPersonOfTextOf.en
rdaa:P50518,rdaa:contributorPersonOfObjectOf.en
rdaa:P50519,rdaa:contributorPersonOfComputerContentOf.en
rdaa:P50520,rdaa:surveyorPersonOf.en
