RDA,mapping,DCT
rdae:P20530,has broader,dct:contributor
rdae:P20531,has broader,dct:contributor
rdae:P20532,has broader,dct:contributor
rdae:P20533,has broader,dct:contributor
rdae:P20534,has broader,dct:contributor
rdae:P20535,has broader,dct:contributor
rdae:P20536,has broader,dct:contributor
rdae:P20537,has broader,dct:contributor
rdae:P20538,has broader,dct:contributor
rdae:P20539,has broader,dct:contributor
rdae:P20540,has broader,dct:contributor
rdae:P20541,has broader,dct:contributor
rdae:P20542,has broader,dct:contributor
rdae:P20543,has broader,dct:contributor
rdae:P20544,has broader,dct:contributor
rdae:P20545,has broader,dct:contributor
rdae:P20546,has broader,dct:contributor
rdae:P20547,has broader,dct:contributor
rdae:P20548,has broader,dct:contributor
rdae:P20549,has broader,dct:contributor
rdae:P20550,has broader,dct:contributor
rdae:P20551,has broader,dct:contributor
rdae:P20552,has broader,dct:contributor
rdae:P20553,has broader,dct:contributor
rdae:P20554,has broader,dct:contributor
rdae:P20555,has broader,dct:contributor
rdae:P20556,has broader,dct:contributor
rdae:P20557,has broader,dct:contributor
rdae:P20558,has broader,dct:contributor
rdae:P20559,has broader,dct:contributor
rdae:P20560,has broader,dct:contributor
rdae:P20562,has broader,dct:contributor
rdae:P20563,has broader,dct:contributor
rdae:P20564,has broader,dct:contributor
rdae:P20565,has broader,dct:contributor
rdae:P20566,has broader,dct:contributor
rdae:P20567,has broader,dct:contributor
rdae:P20568,has broader,dct:contributor
rdae:P20569,has broader,dct:contributor
rdae:P20570,has broader,dct:contributor
rdae:P20571,has broader,dct:contributor
rdae:P20573,has broader,dct:format
rdai:P40001,has broader,dct:identifier
rdai:P40012,has broader,dct:contributor
rdai:P40014,has broader,dct:contributor
rdai:P40024,has broader,dct:contributor
rdai:P40026,has broader,dct:description
rdai:P40028,has broader,dct:description
rdai:P40046,has broader,dct:relation
rdai:P40047,has broader,dct:accessRights
rdai:P40048,has broader,dct:rights
rdai:P40069,has broader,dct:relation
rdai:P40070,has broader,dct:relation
rdai:P40071,has broader,dct:relation
rdai:P40080,has broader,dct:title
rdai:P40082,has broader,dct:title
rdai:P40083,has broader,dct:title
rdai:P40084,has broader,dct:title
rdai:P40085,has broader,dct:title
rdai:P40086,has broader,dct:title
rdai:P40088,has broader,dct:hasFormat
rdai:P40091,has broader,dct:hasFormat
rdai:P40092,has broader,dct:hasFormat
rdai:P40093,has broader,dct:contributor
rdai:P40096,has broader,dct:type
rdai:P40100,has broader,dct:contributor
rdai:P40111,has broader,dct:contributor
rdai:P40112,has broader,dct:contributor
rdai:P40116,has broader,dct:contributor
rdai:P40127,has broader,dct:contributor
rdai:P40128,has broader,dct:contributor
rdai:P40132,has broader,dct:contributor
rdai:P40143,has broader,dct:contributor
rdai:P40144,has broader,dct:contributor
rdai:P40148,has broader,dct:contributor
rdai:P40159,has broader,dct:contributor
rdai:P40160,has broader,dct:contributor
rdam:P30001,has broader,dct:format
rdam:P30002,has broader,dct:format
rdam:P30003,has broader,dct:format
rdam:P30004,has broader,dct:identifier
rdam:P30006,has broader,dct:format
rdam:P30007,has broader,dct:dateCopyrighted
rdam:P30008,has broader,dct:issued
rdam:P30009,has broader,dct:issued
rdam:P30010,has broader,dct:issued
rdam:P30011,has broader,dct:issued
rdam:P30016,has broader,dct:hasFormat
rdam:P30020,has broader,dct:isPartOf
rdam:P30033,has broader,dct:hasPart
rdam:P30038,has broader,dct:hasFormat
rdam:P30039,has broader,dct:hasFormat
rdam:P30043,has broader,dct:isFormatOf
rdam:P30048,has broader,dct:relation
rdam:P30052,has broader,dct:description
rdam:P30053,has broader,dct:description
rdam:P30054,has broader,dct:description
rdam:P30055,has broader,dct:description
rdam:P30057,has broader,dct:description
rdam:P30058,has broader,dct:description
rdam:P30064,has broader,dct:description
rdam:P30065,has broader,dct:identifier
rdam:P30066,has broader,dct:identifier
rdam:P30067,has broader,dct:publisher
rdam:P30068,has broader,dct:publisher
rdam:P30069,has broader,dct:publisher
rdam:P30070,has broader,dct:publisher
rdam:P30071,has broader,dct:publisher
rdam:P30072,has broader,dct:publisher
rdam:P30073,has broader,dct:publisher
rdam:P30074,has broader,dct:publisher
rdam:P30075,has broader,dct:publisher
rdam:P30076,has broader,dct:publisher
rdam:P30077,has broader,dct:publisher
rdam:P30078,has broader,dct:publisher
rdam:P30080,has broader,dct:publisher
rdam:P30081,has broader,dct:publisher
rdam:P30082,has broader,dct:publisher
rdam:P30083,has broader,dct:publisher
rdam:P30084,has broader,dct:medium
rdam:P30093,has broader,dct:isFormatOf
rdam:P30096,has broader,dct:format
rdam:P30097,has broader,dct:identifier
rdam:P30098,has broader,dct:identifier
rdam:P30099,has broader,dct:identifier
rdam:P30100,has broader,dct:identifier
rdam:P30102,has broader,dct:format
rdam:P30104,has broader,dct:format
rdam:P30105,has broader,dct:description
rdam:P30106,has broader,dct:description
rdam:P30107,has broader,dct:description
rdam:P30108,has broader,dct:description
rdam:P30109,has broader,dct:description
rdam:P30110,has broader,dct:description
rdam:P30111,has broader,dct:description
rdam:P30112,has broader,dct:description
rdam:P30113,has broader,dct:description
rdam:P30115,has broader,dct:description
rdam:P30116,has broader,dct:description
rdam:P30117,has broader,dct:description
rdam:P30118,has broader,dct:description
rdam:P30119,has broader,dct:description
rdam:P30121,has broader,dct:description
rdam:P30122,has broader,dct:medium
rdam:P30123,has broader,dct:format
rdam:P30124,has broader,dct:format
rdam:P30125,has broader,dct:format
rdam:P30126,has broader,dct:format
rdam:P30127,has broader,dct:format
rdam:P30128,has broader,dct:title
rdam:P30131,has broader,dct:alternative
rdam:P30134,has broader,dct:title
rdam:P30136,has broader,dct:isFormatOf
rdam:P30137,has broader,dct:description
rdam:P30138,has broader,dct:format
rdam:P30140,has broader,dct:relation
rdam:P30145,has broader,dct:accessRights
rdam:P30146,has broader,dct:rights
rdam:P30147,has broader,dct:identifier
rdam:P30148,has broader,dct:identifier
rdam:P30149,has broader,dct:identifier
rdam:P30150,has broader,dct:identifier
