*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
is metadata description of timespan,rdawo:metadataDescriptionOfTimespan.en,rdawo:P10620,property,rdac:C10001,rdac:C10010,rdaw:P10620,rdawo:P10602,,rdato:P70063,Published,
is metadata description of work,rdawo:metadataDescriptionOfWork.en,rdawo:P10621,property,rdac:C10001,rdac:C10001,rdaw:P10621,rdawo:P10100,,rdawo:P10623,Published,
is metadata description of RDA entity,rdawo:metadataDescriptionOfRDAEntity.en,rdawo:P10622,property,rdac:C10001,rdac:C10013,rdaw:P10622,rdawo:P10360,,rdaxo:P00030,Published,
is work described with metadata by,rdawo:workDescribedWithMetadataBy.en,rdawo:P10623,property,rdac:C10001,rdac:C10001,rdaw:P10623,rdawo:P10118,,rdawo:P10621,Published,
is finding aid of,rdawo:findingAidOf.en,rdawo:P10624,property,rdac:C10001,rdac:C10007,rdaw:P10624,rdawo:P10617,,rdamo:P30463,Published,
is catalogue of,rdawo:catalogueOf.en,rdawo:P10625,property,rdac:C10001,rdac:C10007,rdaw:P10625,rdawo:P10624,,rdamo:P30464,Published,
is hierarchic finding aid of,rdawo:hierarchicFindingAidOf.en,rdawo:P10626,property,rdac:C10001,rdac:C10007,rdaw:P10626,rdawo:P10624,,rdamo:P30465,Published,
is index for,rdawo:indexFor.en,rdawo:P10627,property,rdac:C10001,rdac:C10007,rdaw:P10627,rdawo:P10309,,rdamo:P30466,Published,
is concordance work for,rdawo:concordanceWorkFor.en,rdawo:P10628,property,rdac:C10001,rdac:C10006,rdaw:P10628,rdawo:P10308,,rdaeo:P20577,Published,
has collector agent,rdawo:collectorAgent.en,rdawo:P10629,property,rdac:C10001,rdac:C10002,rdaw:P10629,rdawo:P10065,,rdaao:P51113,Published,
has collector collective agent,rdawo:collectorCollectiveAgent.en,rdawo:P10630,property,rdac:C10001,rdac:C10011,rdaw:P10630,rdawo:P10484,rdawo:P10629,rdaao:P51114,Published,
has collector corporate body,rdawo:collectorCorporateBody.en,rdawo:P10631,property,rdac:C10001,rdac:C10005,rdaw:P10631,rdawo:P10531,rdawo:P10630,rdaao:P51115,Published,
has collector family,rdawo:collectorFamily.en,rdawo:P10632,property,rdac:C10001,rdac:C10008,rdaw:P10632,rdawo:P10578,rdawo:P10630,rdaao:P51116,Published,
has collector person,rdawo:collectorPerson.en,rdawo:P10633,property,rdac:C10001,rdac:C10004,rdaw:P10633,rdawo:P10437,rdawo:P10629,rdaao:P51117,Published,
has collection registrar agent,rdawo:collectionRegistrarAgent.en,rdawo:P10634,property,rdac:C10001,rdac:C10002,rdaw:P10634,rdawo:P10055,,rdaao:P51118,Published,
has collection registrar collective agent,rdawo:collectionRegistrarCollectiveAgent.en,rdawo:P10635,property,rdac:C10001,rdac:C10011,rdaw:P10635,rdawo:P10491,rdawo:P10634,rdaao:P51119,Published,
has collection registrar corporate body,rdawo:collectionRegistrarCorporateBody.en,rdawo:P10636,property,rdac:C10001,rdac:C10005,rdaw:P10636,rdawo:P10538,rdawo:P10635,rdaao:P51120,Published,
has collection registrar family,rdawo:collectionRegistrarFamily.en,rdawo:P10637,property,rdac:C10001,rdac:C10008,rdaw:P10637,rdawo:P10585,rdawo:P10635,rdaao:P51121,Published,
has collection registrar person,rdawo:collectionRegistrarPerson.en,rdawo:P10638,property,rdac:C10001,rdac:C10004,rdaw:P10638,rdawo:P10444,rdawo:P10634,rdaao:P51122,Published,
