*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has engraver collective agent,rdamd:engraverCollectiveAgent.en,rdamd:P30379,property,rdac:C10007,rdam:P30379,rdamd:P30390,rdamd:P30070,Published
has engraver corporate body,rdamd:engraverCorporateBody.en,rdamd:P30408,property,rdac:C10007,rdam:P30408,rdamd:P30419,rdamd:P30379,Published
has engraver family,rdamd:engraverFamily.en,rdamd:P30437,property,rdac:C10007,rdam:P30437,rdamd:P30448,rdamd:P30379,Published
has engraver person,rdamd:engraverPerson.en,rdamd:P30350,property,rdac:C10007,rdam:P30350,rdamd:P30361,rdamd:P30070,Published
has equipment or system requirement,rdamd:equipmentOrSystemRequirement.en,rdamd:P30162,property,rdac:C10007,rdam:P30162,,,Published
has equivalent manifestation,rdamd:equivalentManifestation.en,rdamd:P30024,property,rdac:C10007,rdam:P30024,rdamd:P30048,,Published
has etcher agent,rdamd:etcherAgent.en,rdamd:P30076,property,rdac:C10007,rdam:P30076,rdamd:P30082,,Published
has etcher collective agent,rdamd:etcherCollectiveAgent.en,rdamd:P30385,property,rdac:C10007,rdam:P30385,rdamd:P30390,rdamd:P30076,Published
has etcher corporate body,rdamd:etcherCorporateBody.en,rdamd:P30414,property,rdac:C10007,rdam:P30414,rdamd:P30419,rdamd:P30385,Published
has etcher family,rdamd:etcherFamily.en,rdamd:P30443,property,rdac:C10007,rdam:P30443,rdamd:P30448,rdamd:P30385,Published
has etcher person,rdamd:etcherPerson.en,rdamd:P30356,property,rdac:C10007,rdam:P30356,rdamd:P30361,rdamd:P30076,Published
has exemplar of manifestation,rdamd:exemplarOfManifestation.en,rdamd:P30103,property,rdac:C10007,rdam:P30103,rdamd:P30140,,Published
has expression manifested,rdamd:expressionManifested.en,rdamd:P30139,property,rdac:C10007,rdam:P30139,rdamd:P30266,,Published
has extent of manifestation,rdamd:extentOfManifestation.en,rdamd:P30182,property,rdac:C10007,rdam:P30182,,,Published
is facsimile of item of,rdamd:facsimileOfItem.en,rdamd:P30300,property,rdac:C10007,rdam:P30300,rdamd:P30303,,Published
has facsimile of manifestation,rdamd:facsimileOfManifestation.en,rdamd:P30031,property,rdac:C10007,rdam:P30031,rdamd:P30039,,Published
is facsimile of manifestation of,rdamd:facsimileOfManifestation.en,rdamd:P30047,property,rdac:C10007,rdam:P30047,rdamd:P30043,,Published
has facsimile part,rdamd:facsimilePart.en,rdamd:P30046,property,rdac:C10007,rdam:P30046,rdamd:P30033,,Published
is facsimile part of,rdamd:facsimilePartOf.en,rdamd:P30019,property,rdac:C10007,rdam:P30019,rdamd:P30020,,Published
has file size,rdamd:fileSize.en,rdamd:P30183,property,rdac:C10007,rdam:P30183,rdamd:P30124,,Published
has file type,rdamd:fileType.en,rdamd:P30018,property,rdac:C10007,rdam:P30018,rdamd:P30124,,Published
has film distributor agent,rdamd:filmDistributorAgent.en,rdamd:P30068,property,rdac:C10007,rdam:P30068,rdamd:P30080,,Published
has film distributor collective agent,rdamd:filmDistributorCollectiveAgent.en,rdamd:P30377,property,rdac:C10007,rdam:P30377,rdamd:P30388,rdamd:P30068,Published
has film distributor corporate body,rdamd:filmDistributorCorporateBody.en,rdamd:P30406,property,rdac:C10007,rdam:P30406,rdamd:P30417,rdamd:P30377,Published
has film distributor family,rdamd:filmDistributorFamily.en,rdamd:P30435,property,rdac:C10007,rdam:P30435,rdamd:P30446,rdamd:P30377,Published
has film distributor person,rdamd:filmDistributorPerson.en,rdamd:P30348,property,rdac:C10007,rdam:P30348,rdamd:P30359,rdamd:P30068,Published
is filmed with manifestation,rdamd:filmedWithManifestation.en,rdamd:P30037,property,rdac:C10007,rdam:P30037,rdamd:P30035,,Published
has fingerprint,rdamd:fingerprint.en,rdamd:P30296,property,rdac:C10007,rdam:P30296,rdamd:P30004,,Published
