reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subClassOf[0],subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type","See Also[0]"
35987,"is editorial director collective agent of",rdaa:editorialDirectorCollectiveAgentOf.en,"Relates a collective agent to a work that involves a legal or intellectual responsibility, but not creative responsibility, of a collective agent for the editorial policy and content of a diachronic work.",,,,,,,,,,,"editorial director collective agent of","A work that involves a legal or intellectual responsibility, but not creative responsibility, of a collective agent for the editorial policy and content of a diachronic work.",rdaa:P50675,property,editorialDirectorCollectiveAgentOf,rdac:C10011,,rdau:P60870,,rdaa:P50357,rdaa:P50289,,,Published,,2,
35989,"is cartographer collective agent of work of",rdaa:cartographerCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for a cartographic work.",,,,,,,,,,,"cartographer collective agent of work of","A work that involves a responsibility of a collective agent for a cartographic work.",rdaa:P50676,property,cartographerCollectiveAgentOfWorkOf,rdac:C10011,,rdau:P60654,,rdaa:P50693,rdaa:P50186,,,Published,,2,
35992,"is inventor collective agent of",rdaa:inventorCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for a new device or process.",,,,,,,,,,,"inventor collective agent of","A work that involves a responsibility of a collective agent for a new device or process.",rdaa:P50677,property,inventorCollectiveAgentOf,rdac:C10011,,rdau:P60656,,rdaa:P50693,rdaa:P50188,,,Published,,2,
35994,"is interviewer collective agent of work of",rdaa:interviewerCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility by a collective agent for acting as an interviewer, reporter, pollster, or some other kind of collective agent who gathers information.",,,,,,,,,,,"interviewer collective agent of work of","A work that involves a responsibility of a collective agent for acting as an interviewer, reporter, pollster, or some other kind of collective agent who gathers information.",rdaa:P50678,property,interviewerCollectiveAgentOfWorkOf,rdac:C10011,,rdau:P60659,,rdaa:P50693,rdaa:P50191,,,Published,,2,
35996,"is aggregator collective agent of",rdaa:aggregatorCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for aggregation by selecting and arranging expressions of other works.",,,,,,,,,,,"aggregator collective agent of","A work that involves a responsibility of a collective agent for aggregation by selecting and arranging expressions of other works.",rdaa:P50679,property,aggregatorCollectiveAgentOf,rdac:C10011,,rdau:P61090,,rdaa:P50693,rdaa:P50453,,,Published,,2,
35998,"is architect collective agent of",rdaa:architectCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for creating an architectural design, including a pictorial representation intended to show how a building or other structure will look when completed.",,,,,,,,,,,"architect collective agent of","A work that involves a responsibility of a collective agent for an architectural design, including a pictorial representation intended to show how a building or other structure will look when completed.",rdaa:P50680,property,architectCollectiveAgentOf,rdac:C10011,,rdau:P60664,,rdaa:P50693,rdaa:P50196,,,Published,,2,
36000,"is filmmaker collective agent of",rdaa:filmmakerCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for an independent or personal film.","A filmmaker is individually responsible for the conception and execution of all aspects of the film.",,,,,,,,,,"filmmaker collective agent of","A work that involves a responsibility of a collective agent for an independent or personal film.",rdaa:P50681,property,filmmakerCollectiveAgentOf,rdac:C10011,,rdau:P60665,,rdaa:P50693,rdaa:P50197,,,Published,,2,
36002,"is landscape architect collective agent of",rdaa:landscapeArchitectCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for architectural aspects of landscaping.",,,,,,,,,,,"landscape architect collective agent of","A work that involves a responsibility of a collective agent for architectural aspects of landscaping.",rdaa:P50682,property,landscapeArchitectCollectiveAgentOf,rdac:C10011,,rdau:P60704,,rdaa:P50680,rdaa:P50221,,,Published,,2,
36005,"is screenwriter collective agent of",rdaa:screenwriterCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for authoring a screenplay, script, or scene.",,,,,,,,,,,"screenwriter collective agent of","A work that involves a responsibility of a collective agent for authoring a screenplay, script, or scene.",rdaa:P50683,property,screenwriterCollectiveAgentOf,rdac:C10011,,rdau:P60706,,rdaa:P50692,rdaa:P50223,,,Published,,2,
36007,"is lyricist collective agent of",rdaa:lyricistCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for authoring the words of a popular song, including a song from a musical.","Authoring of only the dialogue from a musical is excluded.",,,,,,,,,,"lyricist collective agent of","A work that involves a responsibility of a collective agent for authoring the words of a popular song, including a song from a musical.",rdaa:P50684,property,lyricistCollectiveAgentOf,rdac:C10011,,rdau:P60707,,rdaa:P50692,rdaa:P50224,,,Published,,2,
36009,"is librettist collective agent of",rdaa:librettistCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for authoring the words of an opera or other musical stage work, or an oratorio.",,,,,,,,,,,"librettist collective agent of","A work that involves a responsibility of a collective agent for authoring the words of an opera or other musical stage work, or an oratorio.",rdaa:P50685,property,librettistCollectiveAgentOf,rdac:C10011,,rdau:P60708,,rdaa:P50692,rdaa:P50225,,,Published,,2,
36011,"is dedicatee collective agent of work of",rdaa:dedicateeCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for being commemorated.",,,,,,,,,,,"dedicatee collective agent of work of","A work that involves a responsibility of a collective agent for being commemorated.",rdaa:P50686,property,dedicateeCollectiveAgentOfWorkOf,rdac:C10011,,rdau:P60689,,rdaa:P50357,rdaa:P50208,,,Published,,2,
36013,"is calligrapher collective agent of",rdaa:calligrapherCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for calligraphy where the focus of interest lies in the aesthetic value of the penmanship or graphic artistry, regardless of whether the same collective agent is also responsible for the inscribed text.",,,,,,,,,,,"calligrapher collective agent of","A work that involves a responsibility of a collective agent for calligraphy where the focus of interest lies in the aesthetic value of the penmanship or graphic artistry, regardless of whether the same collective agent is also responsible for the inscribed text.",rdaa:P50687,property,calligrapherCollectiveAgentOf,rdac:C10011,,rdau:P60758,,rdaa:P50691,rdaa:P50246,,,Published,,2,
36016,"is director collective agent of photography of",rdaa:directorCollectiveAgentOfPhotographyOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for capturing images, either electronically or on film or video stock, and often selecting and arranging the lighting.","A director of photography for a movie is also called a chief cinematographer.",,,,,,,,,,"director collective agent of photography of","A work that involves a responsibility of a collective agent for capturing images, either electronically or on film or video stock, and often selecting and arranging the lighting.",rdaa:P50688,property,directorCollectiveAgentOfPhotographyOf,rdac:C10011,,rdau:P60678,,rdaa:P50357,rdaa:P50207,,,Published,,2,
36018,"is commissioning body collective agent of",rdaa:commissioningBodyCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for commissioning a work.",,,,,,,,,,,"commissioning body collective agent of","A work that involves a responsibility of a collective agent for commissioning a work.",rdaa:P50689,property,commissioningBodyCollectiveAgentOf,rdac:C10011,,rdau:P60827,,rdaa:P50357,rdaa:P50262,,,Published,,2,
36020,"is programmer collective agent of",rdaa:programmerCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for computer programming.",,,,,,,,,,,"programmer collective agent of","A work that involves a responsibility of a collective agent for computer programming.",rdaa:P50690,property,programmerCollectiveAgentOf,rdac:C10011,,rdau:P60652,,rdaa:P50693,rdaa:P50184,,,Published,,2,
36022,"is artist collective agent of",rdaa:artistCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",,,,,,,,,,,"artist collective agent of","A work that involves a responsibility of a collective agent for conceiving, and often implementing, an original graphic design, drawing, painting, etc.",rdaa:P50691,property,artistCollectiveAgentOf,rdac:C10011,,rdau:P60660,,rdaa:P50693,rdaa:P50192,,,Published,,2,
36024,"is author collective agent of",rdaa:authorCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for creating a textual work.",,,,,,,,,,,"author collective agent of","A work that involves a responsibility of a collective agent for creating a textual work.",rdaa:P50692,property,authorCollectiveAgentOf,rdac:C10011,,rdau:P60663,,rdaa:P50693,rdaa:P50195,,,Published,,2,
36026,"is creator collective agent of work of",rdaa:creatorCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for creation.",,,,,,,,,,,"creator collective agent of work of","A work that involves a responsibility of a collective agent for creation.",rdaa:P50693,property,creatorCollectiveAgentOfWorkOf,rdac:C10011,,rdau:P60672,,rdaa:P50357,rdaa:P50204,,,Published,,2,
36029,"is designer collective agent of",rdaa:designerCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for design of an object.",,,,,,,,,,,"designer collective agent of","A work that involves a responsibility of a collective agent for design of an object.",rdaa:P50694,property,designerCollectiveAgentOf,rdac:C10011,,rdau:P60653,,rdaa:P50693,rdaa:P50185,,,Published,,2,
36031,"is book artist collective agent of",rdaa:bookArtistCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for exploiting the book form or altering its physical structure",,,,,,,,,,,"book artist collective agent of","A work that involves a responsibility of a collective agent for exploiting the book form or altering its physical structure",rdaa:P50695,property,bookArtistCollectiveAgentOf,rdac:C10011,,rdau:P60759,,rdaa:P50691,rdaa:P50247,,,Published,,2,
36033,"is founder collective agent of work of",rdaa:founderCollectiveAgentOfWorkOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for initiating a diachronic work.",,,,,,,,,,,"founder collective agent of work of","A work that involves a responsibility of a collective agent for initiating a diachronic work.",rdaa:P50696,property,founderCollectiveAgentOfWorkOf,rdac:C10011,,rdau:P60872,,rdaa:P50357,rdaa:P50290,,,Published,,2,
36035,"is issuing body collective agent of",rdaa:issuingBodyCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for issuing a work, such as an official organ of the body.",,,,,,,,,,,"issuing body collective agent of","A work that involves a responsibility of a collective agent for issuing a work, such as an official organ of the body.",rdaa:P50697,property,issuingBodyCollectiveAgentOf,rdac:C10011,,rdau:P60703,,rdaa:P50357,rdaa:P50130,,,Published,,2,
36037,"is audio producer collective agent of",rdaa:audioProducerCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for managing most of the business aspects of an audio recording.",,,,,,,,,,,"audio producer collective agent of","A work that involves a responsibility of a collective agent for managing most of the business aspects of an audio recording.",rdaa:P50698,property,audioProducerCollectiveAgentOf,rdac:C10011,,rdau:P60883,,rdaa:P50701,rdaa:P50295,,,Published,,2,
36039,"is remix artist collective agent of",rdaa:remixArtistCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for manipulating, recombining, mixing, and reproducing previously recorded sounds.","Remixing activities that do not substantially change the nature and content of the original work, and mixing recorded tracks together to appear as one continuous track, are excluded.",,,,,,,,,,"remix artist collective agent of","A work that involves a responsibility of a collective agent for manipulating, recombining, mixing, and reproducing previously recorded sounds.",rdaa:P50699,property,remixArtistCollectiveAgentOf,rdac:C10011,,rdau:P60881,,rdaa:P50693,rdaa:P50293,,,Published,,2,
36042,"is casting director collective agent of",rdaa:castingDirectorCollectiveAgentOf.en,"Relates a collective agent to a work that involves a responsibility of a collective agent for most aspects of assigning roles and duties to performers.",,,,,,,,,,,"casting director collective agent of","A work that involves a responsibility of a collective agent for most aspects of assigning roles and duties to performers.",rdaa:P50700,property,castingDirectorCollectiveAgentOf,rdac:C10011,,rdau:P60882,,rdaa:P50693,rdaa:P50294,,,Published,,2,
