*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has producer corporate body,rdawd:producerCorporateBody.en,rdawd:P10548,property,rdac:C10001,rdaw:P10548,rdawd:P10531,rdawd:P10501,Published
has director corporate body,rdawd:directorCorporateBody.en,rdawd:P10549,property,rdac:C10001,rdaw:P10549,rdawd:P10531,rdawd:P10502,Published
has issuing body corporate body,rdawd:issuingBodyCorporateBody.en,rdawd:P10550,property,rdac:C10001,rdaw:P10550,rdawd:P10314,rdawd:P10503,Published
has organizer corporate body,rdawd:organizerCorporateBody.en,rdawd:P10551,property,rdac:C10001,rdaw:P10551,rdawd:P10531,rdawd:P10504,Published
has consultant corporate body,rdawd:consultantCorporateBody.en,rdawd:P10552,property,rdac:C10001,rdaw:P10552,rdawd:P10531,rdawd:P10505,Published
has dedicatee family of work,rdawd:dedicateeFamilyOfWork.en,rdawd:P10553,property,rdac:C10001,rdaw:P10553,rdawd:P10313,rdawd:P10459,Published
has addressee family,rdawd:addresseeFamily.en,rdawd:P10554,property,rdac:C10001,rdaw:P10554,rdawd:P10313,rdawd:P10460,Published
has dedicator family,rdawd:dedicatorFamily.en,rdawd:P10555,property,rdac:C10001,rdaw:P10555,rdawd:P10578,rdawd:P10461,Published
has director family of photography,rdawd:directorFamilyOfPhotography.en,rdawd:P10556,property,rdac:C10001,rdaw:P10556,rdawd:P10578,rdawd:P10462,Published
has researcher family,rdawd:researcherFamily.en,rdawd:P10557,property,rdac:C10001,rdaw:P10557,rdawd:P10578,rdawd:P10463,Published
has editorial director family,rdawd:editorialDirectorFamily.en,rdawd:P10558,property,rdac:C10001,rdaw:P10558,rdawd:P10578,rdawd:P10464,Published
has film director family,rdawd:filmDirectorFamily.en,rdawd:P10559,property,rdac:C10001,rdaw:P10559,rdawd:P10596,rdawd:P10465,Published
has radio director family,rdawd:radioDirectorFamily.en,rdawd:P10560,property,rdac:C10001,rdaw:P10560,rdawd:P10596,rdawd:P10466,Published
has television director family,rdawd:televisionDirectorFamily.en,rdawd:P10561,property,rdac:C10001,rdaw:P10561,rdawd:P10596,rdawd:P10467,Published
has audio producer family,rdawd:audioProducerFamily.en,rdawd:P10562,property,rdac:C10001,rdaw:P10562,rdawd:P10595,rdawd:P10468,Published
has film producer family,rdawd:filmProducerFamily.en,rdawd:P10563,property,rdac:C10001,rdaw:P10563,rdawd:P10595,rdawd:P10469,Published
has radio producer family,rdawd:radioProducerFamily.en,rdawd:P10564,property,rdac:C10001,rdaw:P10564,rdawd:P10595,rdawd:P10470,Published
