*label_en,lexicalAlias_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],*status
has transcriber collective agent,rdaed:transcriberCollectiveAgent.en,rdaed:P20418,property,rdac:C10006,rdae:P20418,rdaed:P20406,rdaed:P20034,Published
has special effects provider collective agent,rdaed:specialEffectsProviderCollectiveAgent.en,rdaed:P20419,property,rdac:C10006,rdae:P20419,rdaed:P20425,rdaed:P20258,Published
has visual effects provider collective agent,rdaed:visualEffectsProviderCollectiveAgent.en,rdaed:P20420,property,rdac:C10006,rdae:P20420,rdaed:P20425,rdaed:P20257,Published
has music programmer collective agent,rdaed:musicProgrammerCollectiveAgent.en,rdaed:P20421,property,rdac:C10006,rdae:P20421,rdaed:P20425,rdaed:P20294,Published
has onscreen participant collective agent,rdaed:onscreenParticipantCollectiveAgent.en,rdaed:P20422,property,rdac:C10006,rdae:P20422,rdaed:P20425,rdaed:P20279,Published
has stage director collective agent,rdaed:stageDirectorCollectiveAgent.en,rdaed:P20423,property,rdac:C10006,rdae:P20423,rdaed:P20425,rdaed:P20031,Published
has arranger collective agent of music,rdaed:arrangerCollectiveAgentOfMusic.en,rdaed:P20424,property,rdac:C10006,rdae:P20424,rdaed:P20406,rdaed:P20029,Published
has contributor collective agent to performance,rdaed:contributorCollectiveAgentToPerformance.en,rdaed:P20425,property,rdac:C10006,rdae:P20425,rdaed:P20426,rdaed:P20329,Published
has contributor collective agent to amalgamation,rdaed:contributorCollectiveAgentToAmalgamation.en,rdaed:P20426,property,rdac:C10006,rdae:P20426,rdaed:P20448,rdaed:P20328,Published
has instrumental conductor collective agent,rdaed:instrumentalConductorCollectiveAgent.en,rdaed:P20427,property,rdac:C10006,rdae:P20427,rdaed:P20442,rdaed:P20286,Published
has actor collective agent,rdaed:actorCollectiveAgent.en,rdaed:P20428,property,rdac:C10006,rdae:P20428,rdaed:P20410,rdaed:P20012,Published
has onscreen presenter collective agent,rdaed:onscreenPresenterCollectiveAgent.en,rdaed:P20429,property,rdac:C10006,rdae:P20429,rdaed:P20410,rdaed:P20013,Published
has dancer collective agent,rdaed:dancerCollectiveAgent.en,rdaed:P20430,property,rdac:C10006,rdae:P20430,rdaed:P20410,rdaed:P20014,Published
has host collective agent,rdaed:hostCollectiveAgent.en,rdaed:P20431,property,rdac:C10006,rdae:P20431,rdaed:P20410,rdaed:P20016,Published
has moderator collective agent,rdaed:moderatorCollectiveAgent.en,rdaed:P20432,property,rdac:C10006,rdae:P20432,rdaed:P20410,rdaed:P20017,Published
has puppeteer collective agent,rdaed:puppeteerCollectiveAgent.en,rdaed:P20433,property,rdac:C10006,rdae:P20433,rdaed:P20410,rdaed:P20018,Published
has panelist collective agent,rdaed:panelistCollectiveAgent.en,rdaed:P20434,property,rdac:C10006,rdae:P20434,rdaed:P20410,rdaed:P20019,Published
has instrumentalist collective agent,rdaed:instrumentalistCollectiveAgent.en,rdaed:P20435,property,rdac:C10006,rdae:P20435,rdaed:P20410,rdaed:P20020,Published
has commentator collective agent,rdaed:commentatorCollectiveAgent.en,rdaed:P20436,property,rdac:C10006,rdae:P20436,rdaed:P20410,rdaed:P20021,Published
has narrator collective agent,rdaed:narratorCollectiveAgent.en,rdaed:P20437,property,rdac:C10006,rdae:P20437,rdaed:P20410,rdaed:P20022,Published
has storyteller collective agent,rdaed:storytellerCollectiveAgent.en,rdaed:P20438,property,rdac:C10006,rdae:P20438,rdaed:P20410,rdaed:P20023,Published
has speaker collective agent,rdaed:speakerCollectiveAgent.en,rdaed:P20439,property,rdac:C10006,rdae:P20439,rdaed:P20410,rdaed:P20024,Published
has instructor collective agent,rdaed:instructorCollectiveAgent.en,rdaed:P20440,property,rdac:C10006,rdae:P20440,rdaed:P20410,rdaed:P20015,Published
has singer collective agent,rdaed:singerCollectiveAgent.en,rdaed:P20441,property,rdac:C10006,rdae:P20441,rdaed:P20410,rdaed:P20025,Published
has conductor collective agent,rdaed:conductorCollectiveAgent.en,rdaed:P20442,property,rdac:C10006,rdae:P20442,rdaed:P20410,rdaed:P20011,Published
has voice actor collective agent,rdaed:voiceActorCollectiveAgent.en,rdaed:P20443,property,rdac:C10006,rdae:P20443,rdaed:P20428,rdaed:P20070,Published
has mixing engineer collective agent,rdaed:mixingEngineerCollectiveAgent.en,rdaed:P20444,property,rdac:C10006,rdae:P20444,rdaed:P20407,rdaed:P20293,Published
has recording engineer collective agent,rdaed:recordingEngineerCollectiveAgent.en,rdaed:P20445,property,rdac:C10006,rdae:P20445,rdaed:P20407,rdaed:P20050,Published
has letterer collective agent,rdaed:lettererCollectiveAgent.en,rdaed:P20446,property,rdac:C10006,rdae:P20446,rdaed:P20426,rdaed:P20259,Published
has presenter collective agent,rdaed:presenterCollectiveAgent.en,rdaed:P20447,property,rdac:C10006,rdae:P20447,rdaed:P20410,rdaed:P20054,Published
has creator collective agent of expression,rdaed:creatorCollectiveAgentOfExpression.en,rdaed:P20448,property,rdac:C10006,rdae:P20448,rdaed:P20305,rdaed:P20053,Published
has editor collective agent of moving image work,rdaed:editorCollectiveAgentOfMovingImageWork.en,rdaed:P20449,property,rdac:C10006,rdae:P20449,rdaed:P20425,rdaed:P20055,Published
has production designer collective agent,rdaed:productionDesignerCollectiveAgent.en,rdaed:P20450,property,rdac:C10006,rdae:P20450,rdaed:P20425,rdaed:P20056,Published
has minute taker collective agent,rdaed:minuteTakerCollectiveAgent.en,rdaed:P20451,property,rdac:C10006,rdae:P20451,rdaed:P20426,rdaed:P20058,Published
