*label_en,lexicalAlias_en,*uri,*type,domain,range,subPropertyOf[0],subPropertyOf[1],subPropertyOf[2],inverseOf,*status,owl:propertyChainAxiom
is recording engineer agent of,rdaao:recordingEngineerAgentOf.en,rdaao:P50158,property,rdac:C10002,rdac:C10006,rdaa:P50158,rdaao:P50296,,rdaeo:P20050,Published,
is illustrator of (Deprecated),rdaao:illustratorOf.en,rdaao:P50159,property,rdac:C10002,rdac:C10006,rdaa:P50159,rdaao:P50451,,rdaeo:P20051,Deprecated,
is recordist agent of,rdaao:recordistAgentOf.en,rdaao:P50160,property,rdac:C10002,rdac:C10006,rdaa:P50160,rdaao:P50449,,rdaeo:P20052,Published,
is creator agent of expression of,rdaao:creatorAgentOfExpressionOf.en,rdaao:P50161,property,rdac:C10002,rdac:C10006,rdaa:P50161,rdaao:P50306,,rdaeo:P20053,Published,
is current owner agent of,rdaao:currentOwnerAgentOf.en,rdaao:P50162,property,rdac:C10002,rdac:C10003,rdaa:P50162,rdaao:P50165,,rdaio:P40018,Published,
is former owner agent of,rdaao:formerOwnerAgentOf.en,rdaao:P50163,property,rdac:C10002,rdac:C10003,rdaa:P50163,rdaao:P50165,,rdaio:P40019,Published,
is custodian agent of,rdaao:custodianAgentOf.en,rdaao:P50164,property,rdac:C10002,rdac:C10003,rdaa:P50164,rdaao:P50308,,rdaio:P40020,Published,
is owner agent of,rdaao:ownerAgentOf.en,rdaao:P50165,property,rdac:C10002,rdac:C10003,rdaa:P50165,rdaao:P50308,,rdaio:P40021,Published,
is honouree agent of work of,rdaao:honoureeAgentOfWorkOf.en,rdaao:P50166,property,rdac:C10002,rdac:C10001,rdaa:P50166,rdaao:P50305,,rdawo:P10049,Published,
is honouree agent of item of,rdaao:honoureeAgentOfItemOf.en,rdaao:P50167,property,rdac:C10002,rdac:C10003,rdaa:P50167,rdaao:P50308,,rdaio:P40022,Published,
is broadcaster agent of,rdaao:broadcasterAgentOf.en,rdaao:P50168,property,rdac:C10002,rdac:C10007,rdaa:P50168,rdaao:P50203,,rdamo:P30067,Published,
is film distributor agent of,rdaao:filmDistributorAgentOf.en,rdaao:P50169,property,rdac:C10002,rdac:C10007,rdaa:P50169,rdaao:P50199,,rdamo:P30068,Published,
is book designer agent of,rdaao:bookDesignerAgentOf.en,rdaao:P50170,property,rdac:C10002,rdac:C10007,rdaa:P50170,rdaao:P50477,,rdamo:P30069,Published,
is engraver agent of,rdaao:engraverAgentOf.en,rdaao:P50171,property,rdac:C10002,rdac:C10007,rdaa:P50171,rdaao:P50173,,rdamo:P30070,Published,
is braille embosser agent of,rdaao:brailleEmbosserAgentOf.en,rdaao:P50172,property,rdac:C10002,rdac:C10007,rdaa:P50172,rdaao:P50202,,rdamo:P30071,Published,
is printmaker agent of,rdaao:printmakerAgentOf.en,rdaao:P50173,property,rdac:C10002,rdac:C10007,rdaa:P50173,rdaao:P50477,,rdamo:P30072,Published,
is caster agent of,rdaao:casterAgentOf.en,rdaao:P50174,property,rdac:C10002,rdac:C10007,rdaa:P50174,rdaao:P50477,,rdamo:P30073,Published,
is lithographer agent of,rdaao:lithographerAgentOf.en,rdaao:P50175,property,rdac:C10002,rdac:C10007,rdaa:P50175,rdaao:P50173,,rdamo:P30074,Published,
is platemaker agent of,rdaao:platemakerAgentOf.en,rdaao:P50176,property,rdac:C10002,rdac:C10007,rdaa:P50176,rdaao:P50477,,rdamo:P30075,Published,
is etcher agent of,rdaao:etcherAgentOf.en,rdaao:P50177,property,rdac:C10002,rdac:C10007,rdaa:P50177,rdaao:P50173,,rdamo:P30076,Published,
is collotyper agent of,rdaao:collotyperAgentOf.en,rdaao:P50178,property,rdac:C10002,rdac:C10007,rdaa:P50178,rdaao:P50173,,rdamo:P30077,Published,
is printer agent of,rdaao:printerAgentOf.en,rdaao:P50179,property,rdac:C10002,rdac:C10007,rdaa:P50179,rdaao:P50202,,rdamo:P30078,Published,
is presenter agent of,rdaao:presenterAgentOf.en,rdaao:P50180,property,rdac:C10002,rdac:C10006,rdaa:P50180,rdaao:P50161,,rdaeo:P20054,Published,
is other agent associated with manifestation of (Deprecated),rdaao:otherAgentManifestationOf.en,rdaao:P50181,property,rdac:C10002,rdac:C10007,rdaa:P50181,rdaao:P50307,,rdamo:P30079,Deprecated,
is other agent associated with item of (Deprecated),rdaao:otherAgentItemOf.en,rdaao:P50182,property,rdac:C10002,rdac:C10003,rdaa:P50182,rdaao:P50308,,rdaio:P40023,Deprecated,
is editor agent of moving image work of,rdaao:editorAgentOfMovingImageWorkOf.en,rdaao:P50183,property,rdac:C10002,rdac:C10006,rdaa:P50183,rdaao:P50449,,rdaeo:P20055,Published,
is programmer agent of,rdaao:programmerAgentOf.en,rdaao:P50184,property,rdac:C10002,rdac:C10001,rdaa:P50184,rdaao:P50204,,rdawo:P10050,Published,
is designer agent of,rdaao:designerAgentOf.en,rdaao:P50185,property,rdac:C10002,rdac:C10001,rdaa:P50185,rdaao:P50204,,rdawo:P10051,Published,
is cartographer agent of work of,rdaao:cartographerAgentOfWorkOf.en,rdaao:P50186,property,rdac:C10002,rdac:C10001,rdaa:P50186,rdaao:P50204,,rdawo:P10052,Published,
is composer agent of work of,rdaao:composerAgentOfWorkOf.en,rdaao:P50187,property,rdac:C10002,rdac:C10001,rdaa:P50187,rdaao:P50204,,rdawo:P10053,Published,
is inventor agent of,rdaao:inventorAgentOf.en,rdaao:P50188,property,rdac:C10002,rdac:C10001,rdaa:P50188,rdaao:P50204,,rdawo:P10054,Published,
is compiler agent of,rdaao:compilerAgentOf.en,rdaao:P50189,property,rdac:C10002,rdac:C10001,rdaa:P50189,rdaao:P50453,,rdawo:P10055,Published,
is photographer agent of work of,rdaao:photographerAgentOfWorkOf.en,rdaao:P50190,property,rdac:C10002,rdac:C10001,rdaa:P50190,rdaao:P50204,,rdawo:P10056,Published,
is interviewer agent of work of,rdaao:interviewerAgentOfWorkOf.en,rdaao:P50191,property,rdac:C10002,rdac:C10001,rdaa:P50191,rdaao:P50204,,rdawo:P10057,Published,
is artist agent of,rdaao:artistAgentOf.en,rdaao:P50192,property,rdac:C10002,rdac:C10001,rdaa:P50192,rdaao:P50204,,rdawo:P10058,Published,
is interviewee agent of work of,rdaao:intervieweeAgentOfWorkOf.en,rdaao:P50193,property,rdac:C10002,rdac:C10001,rdaa:P50193,rdaao:P50204,,rdawo:P10059,Published,
is choreographer agent of,rdaao:choreographerAgentOf.en,rdaao:P50194,property,rdac:C10002,rdac:C10001,rdaa:P50194,rdaao:P50204,,rdawo:P10060,Published,
is author agent of,rdaao:authorAgentOf.en,rdaao:P50195,property,rdac:C10002,rdac:C10001,rdaa:P50195,rdaao:P50204,,rdawo:P10061,Published,
is architect agent of,rdaao:architectAgentOf.en,rdaao:P50196,property,rdac:C10002,rdac:C10001,rdaa:P50196,rdaao:P50204,,rdawo:P10062,Published,
is filmmaker agent of,rdaao:filmmakerAgentOf.en,rdaao:P50197,property,rdac:C10002,rdac:C10001,rdaa:P50197,rdaao:P50204,,rdawo:P10063,Published,
is production designer agent of,rdaao:productionDesignerAgentOf.en,rdaao:P50198,property,rdac:C10002,rdac:C10006,rdaa:P50198,rdaao:P50449,,rdaeo:P20056,Published,
is distributor agent of,rdaao:distributorAgentOf.en,rdaao:P50199,property,rdac:C10002,rdac:C10007,rdaa:P50199,rdaao:P50307,,rdamo:P30080,Published,
is producer agent of unpublished manifestation of,rdaao:producerAgentOfUnpublishedManifestationOf.en,rdaao:P50200,property,rdac:C10002,rdac:C10007,rdaa:P50200,rdaao:P50477,,rdamo:P30081,Published,
is producer agent of,rdaao:producerAgentOf.en,rdaao:P50201,property,rdac:C10002,rdac:C10001,rdaa:P50201,rdaao:P50204,,rdawo:P10064,Published,
is manufacturer agent of,rdaao:manufacturerAgentOf.en,rdaao:P50202,property,rdac:C10002,rdac:C10007,rdaa:P50202,rdaao:P50307,,rdamo:P30082,Published,
is publisher agent of,rdaao:publisherAgentOf.en,rdaao:P50203,property,rdac:C10002,rdac:C10007,rdaa:P50203,rdaao:P50477,,rdamo:P30083,Published,
is creator agent of work of,rdaao:creatorAgentOfWorkOf.en,rdaao:P50204,property,rdac:C10002,rdac:C10001,rdaa:P50204,rdaao:P50305,,rdawo:P10065,Published,
is director agent of,rdaao:directorAgentOf.en,rdaao:P50205,property,rdac:C10002,rdac:C10001,rdaa:P50205,rdaao:P50305,,rdawo:P10066,Published,
is restorationist agent of item of,rdaao:restorationistAgentOfItemOf.en,rdaao:P50206,property,rdac:C10002,rdac:C10003,rdaa:P50206,rdaao:P50308,,rdaio:P40024,Published,
is director agent of photography of,rdaao:directorAgentOfPhotographyOf.en,rdaao:P50207,property,rdac:C10002,rdac:C10001,rdaa:P50207,rdaao:P50305,,rdawo:P10068,Published,
is dedicatee agent of work of,rdaao:dedicateeAgentOfWorkOf.en,rdaao:P50208,property,rdac:C10002,rdac:C10001,rdaa:P50208,rdaao:P50305,,rdawo:P10069,Published,
is addressee agent of,rdaao:addresseeAgentOf.en,rdaao:P50209,property,rdac:C10002,rdac:C10001,rdaa:P50209,rdaao:P50305,,rdawo:P10070,Published,
is dedicatee agent of item of,rdaao:dedicateeAgentOfItemOf.en,rdaao:P50210,property,rdac:C10002,rdac:C10003,rdaa:P50210,rdaao:P50308,,rdaio:P40025,Published,
is consultant agent of,rdaao:consultantAgentOf.en,rdaao:P50211,property,rdac:C10002,rdac:C10001,rdaa:P50211,rdaao:P50305,,rdawo:P10071,Published,
