*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
has access point for corporate body,rdaa:accessPointForCorporateBody.en,Relates a corporate body to a nomen that is an appellation of corporate body in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,,,,,,,access point for corporate body,A nomen that is an appellation of corporate body in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdaa:P50375,property,rdac:C10005,rdaa:P50380,rdaa:P50374,Published,,3,
has access point for family,rdaa:accessPointForFamily.en,Relates a family to a nomen that is an appellation of family in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,,,,,,,access point for family,A nomen that is an appellation of family in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdaa:P50376,property,rdac:C10008,rdaa:P50381,rdaa:P50374,Published,,3,
has access point for person,rdaa:accessPointForPerson.en,Relates a person to a nomen that is an appellation of person in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,,,,,,,,,,,access point for person,A nomen that is an appellation of person in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.,rdaa:P50377,property,rdac:C10004,rdaa:P50382,rdaa:P50373,Published,,3,
is actor agent of,rdaa:actorAgentOf.en,Relates an agent to an expression that includes a contribution by an agent of acting as a cast member or player in a musical or dramatic presentation.,,actor of,,,,,,,,,actor agent of,An expression that includes a contribution by an agent of acting as a cast member or player in a musical or dramatic presentation.,rdaa:P50071,property,rdac:C10002,rdaa:P50147,,Published,18.5,2,
is actor collective agent of,rdaa:actorCollectiveAgentOf.en,Relates a collective agent to an expression that includes a contribution by a collective agent of acting as a cast member or player in a musical or dramatic presentation.,,,,,,,,,,,actor collective agent of,An expression that includes a contribution by a collective agent of acting as a cast member or player in a musical or dramatic presentation.,rdaa:P50719,property,rdac:C10011,rdaa:P50754,rdaa:P50071,Published,,2,
is actor corporate body of,rdaa:actorCorporateBodyOf.en,Relates a corporate body to an expression that includes a contribution by a corporate body of acting as a cast member or player in a musical or dramatic presentation.,,,,,,,,,,,actor corporate body of,An expression that includes a contribution by a corporate body of acting as a cast member or player in a musical or dramatic presentation.,rdaa:P50870,property,rdac:C10005,rdaa:P50905,rdaa:P50719,Published,,2,
is actor family of,rdaa:actorFamilyOf.en,Relates a family to an expression that includes a contribution by a family of acting as a cast member or player in a musical or dramatic presentation.,,,,,,,,,,,actor family of,An expression that includes a contribution by a family of acting as a cast member or player in a musical or dramatic presentation.,rdaa:P51021,property,rdac:C10008,rdaa:P51056,rdaa:P50719,Published,,2,
is actor person of,rdaa:actorPersonOf.en,Relates a person to an expression that includes a contribution by a person of acting as a cast member or player in a musical or dramatic presentation.,,,,,,,,,,,actor person of,An expression that includes a contribution by a person of acting as a cast member or player in a musical or dramatic presentation.,rdaa:P50568,property,rdac:C10004,rdaa:P50603,rdaa:P50071,Published,,2,
is addressee agent of,rdaa:addresseeAgentOf.en,Relates an agent to a work or a portion of a work that is addressed to an agent.,,addressee of,,,,,,,,,addressee agent of,A work or a portion of a work that is addressed to an agent.,rdaa:P50209,property,rdac:C10002,rdaa:P50305,,Published,18.5,2,
is addressee collective agent of,rdaa:addresseeCollectiveAgentOf.en,Relates a collective agent to a work or a portion of a work that is addressed to a collective agent.,,,,,,,,,,,addressee collective agent of,A work or a portion of a work that is addressed to a collective agent.,rdaa:P50674,property,rdac:C10011,rdaa:P50357,rdaa:P50209,Published,,2,
is addressee corporate body of,rdaa:addresseeCorporateBodyOf.en,Relates a corporate body to a work or a portion of a work that is addressed to a corporate body.,,,,,,,,,,,addressee corporate body of,A work or a portion of a work that is addressed to a corporate body.,rdaa:P50825,property,rdac:C10005,rdaa:P50329,rdaa:P50674,Published,,2,
is addressee family of,rdaa:addresseeFamilyOf.en,Relates a family to a work or a portion of a work that is addressed to a family.,,,,,,,,,,,addressee family of,A work or a portion of a work that is addressed to a family.,rdaa:P50976,property,rdac:C10008,rdaa:P50320,rdaa:P50674,Published,,2,
is addressee person of,rdaa:addresseePersonOf.en,Relates a person to a work or a portion of a work that is addressed to a person.,,,,,,,,,,,addressee person of,A work or a portion of a work that is addressed to a person.,rdaa:P50523,property,rdac:C10004,rdaa:P50311,rdaa:P50209,Published,,2,
has address of agent,rdaa:addressOfAgent.en,Relates an agent to an address of an agent.,Includes an email or other online address.,,,,,,,,,,address of agent,An address of an agent.,rdaa:P50418,property,rdac:C10002,,,Published,,6,
has address of collective agent,rdaa:addressOfCollectiveAgent.en,Relates a collective agent to an address of a collective agent.,Includes an email or other online address.,,,,,,,,,,address of collective agent,An address of a collective agent.,rdaa:P50419,property,rdac:C10011,rdaa:P50418,,Published,,6,
has address of corporate body,rdaa:addressOfCorporateBody.en,Relates a corporate body to an address of a corporate body.,Includes an email or other online address.,,,,,,,,,,address of corporate body,An address of a corporate body.,rdaa:P50036,property,rdac:C10005,rdaa:P50419,,Published,11.9,6,
has address of family,rdaa:addressOfFamily.en,Relates a family to an address of a family.,Includes an email or other online address.,,,,,,,,,,address of family,An address of a family.,rdaa:P50420,property,rdac:C10008,rdaa:P50419,,Published,,6,
has address of person,rdaa:addressOfPerson.en,Relates a person to an address of a person.,Includes an email or other online address.,,,,,,,,,,address of person,An address of a person.,rdaa:P50114,property,rdac:C10004,rdaa:P50418,,Published,9.12,6,
has affiliation (Deprecated),rdaa:affiliation.en,"Relates a person to a group with which a person is affiliated or has been affiliated through employment, membership, cultural identity, etc. (Deprecated)",,,,,,,,,,,affiliation (Deprecated),"A group with which a person is affiliated or has been affiliated through employment, membership, cultural identity, etc. (Deprecated)",rdaa:P50101,property,rdac:C10004,,,Deprecated,9.13,,
is agent described by,rdaa:agentDescribedBy.en,Relates an agent to a work that is a description of an agent,,described in (agent),agent described in,,,,,,,,agent described by,A work that is a description of an agent,rdaa:P50426,property,rdac:C10002,rdaa:P50366,,Published,,2,
is agent described with metadata by,rdaa:agentDescribedWithMetadataBy.en,Relates an agent to a work that is a metadata work for an agent.,,,,,,,,,,,agent described with metadata by,A work that is a metadata work for an agent.,rdaa:P51108,property,rdac:C10002,rdaa:P50426,,Published,,2,
