reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type"
14558,"has dimensions",rdam:dimensions.en,"Relates a manifestation to a measurement of a carrier or a container of a manifestation.","Dimensions include measurements of height, width, depth, length, gauge, and diameter.",,,,,,,,,,dimensions,"A measurement of a carrier or a container of a manifestation.",rdam:P30169,property,dimensions,rdac:C10007,,rdau:P60539,,,,,Published,3.5,6
14559,"has dimensions of cartographic image",rdam:dimensionsOfCartographicImage.en,"Relates a manifestation to a measurement of a face of a map or cartographic diagram, view, profile, or section.",,"dimensions of map, etc.",,,,,,,,,"dimensions of cartographic image","A measurement of a face of a map or cartographic diagram, view, profile, or section.",rdam:P30170,property,dimensionsOfCartographicImage,rdac:C10007,,rdau:P60540,rdam:P30171,,,,Published,3.5.2,6
14560,"has dimensions of still image",rdam:dimensionsOfStillImage.en,"Relates a manifestation to a measurement of the pictorial area of a still image.",,,,,,,,,,,"dimensions of still image","A measurement of a pictorial area of a still image.",rdam:P30171,property,dimensionsOfStillImage,rdac:C10007,,rdau:P60541,rdam:P30169,,,,Published,3.5.3,6
14561,"has type of recording",rdam:typeOfRecording.en,"Relates a manifestation to a method used to encode audio content for playback.",,,,,,,,,,,"type of recording","A method used to encode audio content for playback.",rdam:P30172,property,typeOfRecording,rdac:C10007,,rdau:P60543,rdam:P30125,,,,Published,3.16.2,4
14562,"has name of distributor",rdam:nameOfDistributor.en,"Relates a manifestation to a name of an agent who is responsible for distributing a published manifestation.",,"distributor's name",,,,,,,,,"name of distributor","A name of an agent who is responsible for distributing a published manifestation.",rdam:P30173,property,nameOfDistributor,rdac:C10007,,rdau:P60544,rdam:P30297,,,,Published,2.9.4,3
14563,"has name of producer",rdam:nameOfProducer.en,"Relates a manifestation to a name of an agent who is responsible for inscribing, fabricating, constructing, etc., an unpublished manifestation.",,"producer's name",,,,,,,,,"name of producer","A name of an agent who is responsible for inscribing, fabricating, constructing, etc., an unpublished manifestation.",rdam:P30174,property,nameOfProducer,rdac:C10007,,rdau:P60545,rdam:P30297,,,,Published,2.7.4,3
14564,"has name of manufacturer",rdam:nameOfManufacturer.en,"Relates a manifestation to a name of an agent who is responsible for printing, duplicating, casting, etc., a published manifestation.",,"manufacturer's name",,,,,,,,,"name of manufacturer","A name of an agent who is responsible for printing, duplicating, casting, etc., a published manifestation.",rdam:P30175,property,nameOfManufacturer,rdac:C10007,,rdau:P60546,rdam:P30297,,,,Published,2.10.4,3
14565,"has name of publisher",rdam:nameOfPublisher.en,"Relates a manifestation to a name of an agent who is responsible for publishing a manifestation.","Publication includes release and issuance.","publisher's name",,,,,,,,,"name of publisher","A name of an agent who is responsible for publishing a manifestation.",rdam:P30176,property,nameOfPublisher,rdac:C10007,,rdau:P60547,rdam:P30297,,,,Published,2.8.4,3
14571,"has extent of manifestation",rdam:extentOfManifestation.en,"Relates a manifestation to a number and type of unit or subunit of a manifestation.",,,,,,,,,,,"extent of manifestation","A number and type of unit or subunit of a manifestation.",rdam:P30182,property,extentOfManifestation,rdac:C10007,,rdau:P60550,,,,,Published,3.4,6
14572,"has file size",rdam:fileSize.en,"Relates a manifestation to a number of bytes in a digital file.",,,,,,,,,,,"file size","A number of bytes in a digital file.",rdam:P30183,property,fileSize,rdac:C10007,,rdau:P60551,rdam:P30124,,,,Published,3.19.4,6
